seed_record_id,category,yaw,pitch,roll,geom,label,render_needed,roll0_reuse_source
yaw165_pitch-020,image-hard-seed,165,-20,45,phase63(L1-G1),yaw165_pitch-020_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw165_pitch-020,image-hard-seed,165,-20,60,phase63(L1-G1),yaw165_pitch-020_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,-60,phase63(L1-G1),yaw285_pitch-070_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,-45,phase63(L1-G1),yaw285_pitch-070_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,-30,phase63(L1-G1),yaw285_pitch-070_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,-15,phase63(L1-G1),yaw285_pitch-070_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,15,phase63(L1-G1),yaw285_pitch-070_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,30,phase63(L1-G1),yaw285_pitch-070_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,45,phase63(L1-G1),yaw285_pitch-070_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw285_pitch-070,dark-seed,285,-70,60,phase63(L1-G1),yaw285_pitch-070_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,-60,phase63(L1-G1),yaw150_pitch+010_roll-060,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,-45,phase63(L1-G1),yaw150_pitch+010_roll-045,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,-30,phase63(L1-G1),yaw150_pitch+010_roll-030,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,-15,phase63(L1-G1),yaw150_pitch+010_roll-015,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,15,phase63(L1-G1),yaw150_pitch+010_roll+015,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,30,phase63(L1-G1),yaw150_pitch+010_roll+030,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,45,phase63(L1-G1),yaw150_pitch+010_roll+045,YES,"01_fullrun (roll+000, 不重渲)"
yaw150_pitch+010,robust-easy-seed,150,10,60,phase63(L1-G1),yaw150_pitch+010_roll+060,YES,"01_fullrun (roll+000, 不重渲)"
