channel,config_name,fold,n_samples,yaw_exact_acc,pitch_exact_acc,yaw_circular_mae_deg,pitch_mae_deg,yaw_within_1_bins_rate,pitch_within_1_bins_rate,yaw_within_2_bins_rate,pitch_within_2_bins_rate,yaw_within_3_bins_rate,pitch_within_3_bins_rate,yaw_within_6_bins_rate,pitch_within_6_bins_rate,yaw_coarse_30deg_acc,yaw_coarse_45deg_acc,pitch_coarse_30deg_acc,pitch_coarse_45deg_acc,yaw_cmae_min,yaw_cmae_p25,yaw_cmae_median,yaw_cmae_p75,yaw_cmae_p90,yaw_cmae_max,yaw_cmae_mean,yaw_cmae_std
C2,M2_ratio_pixelfrac_5d,0,555,0.0,0.043243243243243246,63.513513513513516,47.64864864864865,0.06126126126126126,0.11711711711711711,0.11711711711711711,0.17657657657657658,0.16396396396396395,0.24144144144144145,0.27927927927927926,0.436036036036036,0.16396396396396395,0.24324324324324326,0.209009009009009,0.27927927927927926,5.0,30.0,60.0,85.0,105.0,180.0,63.513513513513516,43.69321073384056
C2,M2_ratio_pixelfrac_5d,1,555,0.0,0.04504504504504504,139.67567567567568,61.567567567567565,0.0018018018018018018,0.11531531531531532,0.0036036036036036037,0.16936936936936936,0.0036036036036036037,0.21981981981981982,0.009009009009009009,0.3801801801801802,0.0,0.005405405405405406,0.16576576576576577,0.2702702702702703,5.0,117.5,165.0,175.0,180.0,180.0,139.67567567567568,44.553674919896196
C2,M2_ratio_pixelfrac_5d,2,518,0.0,0.021235521235521235,99.52702702702703,75.56949806949807,0.07142857142857142,0.07335907335907337,0.14285714285714285,0.12355212355212356,0.21042471042471042,0.16023166023166024,0.39768339768339767,0.2722007722007722,0.14285714285714285,0.42857142857142855,0.10038610038610038,0.13127413127413126,5.0,20.0,165.0,175.0,180.0,180.0,99.52702702702703,77.59673401982631
C2,M2_ratio_pixelfrac_5d,3,518,0.0,0.02895752895752896,43.6003861003861,54.42084942084942,0.07142857142857142,0.0888030888030888,0.14092664092664092,0.14285714285714285,0.20463320463320464,0.20270270270270271,0.361003861003861,0.35714285714285715,0.25675675675675674,0.25675675675675674,0.16795366795366795,0.2528957528957529,5.0,20.0,45.0,60.0,70.0,120.0,43.6003861003861,26.543483662613912
C2,M2_ratio_pixelfrac_5d,4,518,0.0,0.023166023166023165,144.95173745173744,72.8088803088803,0.07142857142857142,0.0694980694980695,0.13320463320463322,0.10424710424710425,0.15444015444015444,0.13706563706563707,0.16602316602316602,0.28957528957528955,0.0,0.0,0.0888030888030888,0.12355212355212356,5.0,160.0,175.0,180.0,180.0,180.0,144.95173745173744,62.041737624005755
C2,M3_density_ratio_5d,0,555,0.0,0.03963963963963964,88.47747747747748,56.5945945945946,0.03423423423423423,0.1063063063063063,0.04684684684684685,0.17477477477477477,0.04864864864864865,0.23603603603603604,0.13153153153153152,0.3783783783783784,0.055855855855855854,0.12972972972972974,0.15495495495495495,0.23423423423423423,5.0,72.5,95.0,105.0,128.0000000000001,180.0,88.47747747747748,41.07208491667602
C2,M3_density_ratio_5d,1,555,0.0,0.05045045045045045,112.76576576576576,62.77477477477477,0.0,0.1045045045045045,0.0018018018018018018,0.15135135135135136,0.023423423423423424,0.1963963963963964,0.055855855855855854,0.33513513513513515,0.0,0.05045045045045045,0.11531531531531532,0.1837837837837838,10.0,60.0,90.0,175.0,180.0,180.0,112.76576576576576,55.81790777176449
C2,M3_density_ratio_5d,2,518,0.0,0.021235521235521235,114.76833976833976,89.60424710424711,0.05791505791505792,0.055984555984555984,0.07142857142857142,0.0888030888030888,0.10424710424710425,0.12548262548262548,0.1583011583011583,0.2335907335907336,0.07142857142857142,0.1583011583011583,0.07915057915057915,0.12162162162162163,5.0,70.0,120.0,170.0,180.0,180.0,114.76833976833977,59.23453483670527
C2,M3_density_ratio_5d,3,518,0.0,0.02895752895752896,53.58108108108108,61.75675675675676,0.07142857142857142,0.08687258687258688,0.14285714285714285,0.138996138996139,0.21428571428571427,0.19305019305019305,0.333976833976834,0.33783783783783783,0.2702702702702703,0.3204633204633205,0.1776061776061776,0.22972972972972974,5.0,20.0,65.0,80.0,85.0,110.0,53.58108108108108,30.937166817974067
C2,M3_density_ratio_5d,4,518,0.0,0.017374517374517374,117.77992277992277,77.32625482625483,0.06177606177606178,0.055984555984555984,0.10617760617760617,0.11003861003861004,0.13513513513513514,0.15637065637065636,0.21621621621621623,0.25868725868725867,0.0,0.0,0.04054054054054054,0.07915057915057915,5.0,41.25,165.0,175.0,180.0,180.0,117.77992277992279,68.07256676473999
C2,M4_log_density_ratio_9d,0,555,0.0,0.03963963963963964,94.20720720720722,62.44144144144144,0.06306306306306306,0.11891891891891893,0.1063063063063063,0.19099099099099098,0.10990990990990991,0.24684684684684685,0.23063063063063063,0.40540540540540543,0.10990990990990991,0.23063063063063063,0.18018018018018017,0.25045045045045045,5.0,35.0,90.0,175.0,180.0,180.0,94.2072072072072,62.05564447428797
