run,mode,fold,aug,select,pitch_band_deg,n,pitch_mae_deg,pitch_hit@10
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[-30,0)",84,14.43,0.333
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[0,30)",84,15.571,0.333
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[30,60)",84,45.631,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[60,90)",84,75.687,0.0
ocs_only_fold3_aug-none,ocs_only,3,none,best,"[90,120)",14,93.199,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[-90,-60)",84,95.14,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[-60,-30)",84,54.778,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[-30,0)",84,14.281,0.417
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[0,30)",84,14.59,0.31
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[30,60)",84,43.292,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[60,90)",84,75.965,0.0
ocs_only_fold4_aug-none,ocs_only,4,none,best,"[90,120)",14,93.292,0.0
