geom_id,rank,pose_id,role,group,cluster,ocs_total,metal_pct,near_specular_metal
Hsm_vm,5,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.19475533,94.86,1
Hsm_vm,6,D3,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.19216267,94.85,1
Hsm_vm,7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.19121064,98.74,1
Hsm_vm,8,B_R4,R4_robust,mandatory,control,0.18749647,98.51,1
Hsm_vm,9,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.18605108,98.47,1
Hsm_vm,10,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.18480679,94.62,1
Hsm_vm,11,D5_roll125,top1_neighbor_roll125,top1_neighbor,primary_shift_target,0.18194022,94.62,0
Hsm_vm,12,D6_roll175,top1_neighbor_roll175,top1_neighbor,primary_shift_target,0.18153312,94.60,0
Hsm_vm,13,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.17992038,94.54,0
Hsm_vm,14,C_R3,R3_negative,mandatory,control,0.06605352,98.74,0
