geom_id,sun_offset,view_offset,pose_id,role,group,label,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,near_specular_metal,strong_surface_highlight,dark_panel_increment
Hsp_vm,7,-7,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.12155909,jinshuzhuti,92.11,6.801,6.889,11.765,80.48,4.3200e-01,0,1,1
Hsp_vm,7,-7,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.08972660,jinshuzhuti,89.37,8.903,8.675,14.686,1.20,2.8576e-01,0,0,1
Hsp_vm,7,-7,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.13269323,jinshuzhuti,92.72,6.250,6.295,10.913,80.59,4.8389e-01,0,1,1
Hsp_vm,7,-7,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.07477579,jinshuzhuti,88.00,10.407,9.772,16.708,1.26,2.1819e-01,0,0,1
Hsp_vm,7,-7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.10401695,jinshuzhuti,97.52,0.851,7.755,13.166,81.79,3.8813e-01,0,1,0
Hsp_vm,7,-7,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.09959482,jinshuzhuti,97.38,0.901,7.874,13.381,87.42,4.0970e-01,0,1,0
Hsp_vm,7,-7,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.09472298,jinshuzhuti,90.08,8.445,8.447,14.321,1.52,3.0885e-01,0,0,1
Hsp_vm,7,-7,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.10090395,jinshuzhuti,90.70,7.978,8.099,14.108,1.59,3.3724e-01,0,0,1
Hsp_vm,7,-7,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.07814624,jinshuzhuti,87.60,10.092,9.234,15.624,1.14,2.3916e-01,0,0,1
Hsm_vp,-7,7,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.12173121,jinshuzhuti,91.95,6.974,7.333,12.644,80.13,4.0620e-01,0,1,1
Hsm_vp,-7,7,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.10252747,jinshuzhuti,97.69,0.891,7.850,13.558,1.41,3.4884e-01,0,0,0
Hsm_vp,-7,7,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.03296315,jinshuzhuti,97.68,0.000,17.868,31.371,0.06,4.7149e-03,0,0,0
Hsm_vp,-7,7,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.11584660,jinshuzhuti,91.50,7.317,7.651,13.236,80.00,3.8430e-01,0,1,1
Hsm_vp,-7,7,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.11093026,jinshuzhuti,91.06,7.627,7.916,13.752,1.35,3.6057e-01,0,0,1
Hsm_vp,-7,7,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.09758520,jinshuzhuti,90.15,8.542,8.701,14.992,0.93,3.0269e-01,0,0,1
Hsm_vp,-7,7,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.13081846,jinshuzhuti,92.34,6.543,6.797,11.842,80.45,4.5194e-01,0,1,1
Hsm_vp,-7,7,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.08454915,jinshuzhuti,88.87,9.644,9.518,16.383,0.98,2.4673e-01,0,0,1
Hsm_vp,-7,7,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.14991522,jinshuzhuti,93.20,5.815,5.741,9.891,79.90,5.3131e-01,0,1,1
Hsm_vp,-7,7,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.10309908,jinshuzhuti,97.88,0.900,7.709,13.321,1.59,3.2949e-01,0,0,0
Hsm_vp,-7,7,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.10050481,jinshuzhuti,97.69,0.928,7.963,13.755,0.15,3.5695e-01,0,0,0
Hsm_vp,-7,7,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.11890887,jinshuzhuti,91.75,7.121,7.482,13.228,80.54,3.9873e-01,0,1,1
Hsm_vp,-7,7,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.10898403,jinshuzhuti,91.22,7.655,8.027,13.859,1.06,3.5478e-01,0,0,1
Hsm_vp,-7,7,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.14183041,jinshuzhuti,92.90,6.087,6.178,10.879,74.23,4.5664e-01,0,1,1
Hsm_vm,-7,-7,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.19664608,jinshuzhuti,94.89,4.264,1.238,2.474,82.09,8.0458e-01,1,1,1
Hsm_vm,-7,-7,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.18749647,jinshuzhuti,98.51,0.474,0.806,1.527,85.10,8.4929e-01,1,1,0
Hsm_vm,-7,-7,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.06605352,jinshuzhuti,98.74,0.000,11.948,21.164,0.35,1.0651e-01,0,0,0
Hsm_vm,-7,-7,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.19828415,jinshuzhuti,94.95,4.251,0.619,1.232,81.60,8.1192e-01,1,1,1
