region,category,yaw,pitch,roll,label,camera_exr_exists,sun_exr_exists,source,source_seed
R3_low_info,low-info/ocs-hard,70,65,-60,yaw070_pitch+065_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,-45,yaw070_pitch+065_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,-30,yaw070_pitch+065_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,-15,yaw070_pitch+065_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,15,yaw070_pitch+065_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,30,yaw070_pitch+065_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,45,yaw070_pitch+065_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,65,60,yaw070_pitch+065_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,-60,yaw070_pitch+070_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,-45,yaw070_pitch+070_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,-30,yaw070_pitch+070_roll-030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,-15,yaw070_pitch+070_roll-015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,15,yaw070_pitch+070_roll+015,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,30,yaw070_pitch+070_roll+030,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,45,yaw070_pitch+070_roll+045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,70,60,yaw070_pitch+070_roll+060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,-60,yaw070_pitch+075_roll-060,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
R3_low_info,low-info/ocs-hard,70,75,-45,yaw070_pitch+075_roll-045,True,True,20_pack,low-info/ocs-hard-seed yaw065 pitch+70/+75
