method,degrade_level,geom,mode,select,record_id,yaw_true,yaw_err,q_deg_a010,covered_a010
neural,clean,G1,ocs_only,best,G1_yaw265_pitch-090,265.0,11.4869,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw110_pitch+020,110.0,79.5925,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw350_pitch+070,350.0,61.6039,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw230_pitch-065,230.0,160.4776,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch+065,115.0,161.828,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw010_pitch-080,10.0,159.3373,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw130_pitch+030,130.0,69.1381,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw215_pitch-045,215.0,77.5808,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw120_pitch-030,120.0,149.4412,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw005_pitch+055,5.0,97.9397,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw125_pitch+035,125.0,117.6518,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw260_pitch+035,260.0,145.6559,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw200_pitch+010,200.0,2.6779,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw275_pitch+020,275.0,17.1883,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw180_pitch-070,180.0,53.9225,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw055_pitch+070,55.0,1.804,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch-075,65.0,7.557,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw010_pitch-045,10.0,125.7198,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch+070,270.0,84.2922,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw325_pitch+090,325.0,110.9775,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw150_pitch+055,150.0,48.2588,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw205_pitch+045,205.0,14.2274,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw130_pitch-060,130.0,88.2335,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw280_pitch+055,280.0,60.6927,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw175_pitch-035,175.0,52.7368,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw105_pitch+075,105.0,135.9099,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw340_pitch+075,340.0,110.2272,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw305_pitch+010,305.0,90.3522,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw240_pitch-015,240.0,178.0624,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw220_pitch-030,220.0,123.7125,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw165_pitch+060,165.0,59.316,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw040_pitch-065,40.0,25.9719,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw305_pitch+015,305.0,81.4023,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw335_pitch-050,335.0,138.6726,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw330_pitch-090,330.0,94.3976,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw275_pitch-015,275.0,77.7473,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw045_pitch-050,45.0,36.1512,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw105_pitch-085,105.0,84.9121,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw300_pitch+070,300.0,18.5259,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw290_pitch+005,290.0,9.4664,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw355_pitch+045,355.0,47.516,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw085_pitch+000,85.0,14.4326,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw090_pitch+015,90.0,36.9092,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw155_pitch-035,155.0,10.7588,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw000_pitch-035,0.0,49.7746,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw215_pitch-075,215.0,62.9294,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw090_pitch+085,90.0,79.9,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw285_pitch-035,285.0,16.8408,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw135_pitch-010,135.0,23.2703,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw140_pitch-015,140.0,8.0135,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch+000,270.0,58.5655,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw245_pitch+065,245.0,11.3095,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch-050,270.0,33.2271,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw180_pitch-090,180.0,72.5537,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw085_pitch-025,85.0,2.1168,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw355_pitch-045,355.0,56.6833,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw000_pitch+045,0.0,46.385,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw050_pitch-055,50.0,8.3622,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw120_pitch+070,120.0,164.4517,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw210_pitch+080,210.0,27.0293,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw050_pitch-005,50.0,9.1448,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw070_pitch-085,70.0,52.6964,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw170_pitch-065,170.0,25.81,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw200_pitch+000,200.0,13.5836,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw180_pitch-040,180.0,98.0443,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw150_pitch+010,150.0,67.7161,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw330_pitch+055,330.0,129.0824,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw150_pitch+085,150.0,82.2883,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw100_pitch+045,100.0,88.1156,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw090_pitch+025,90.0,19.5091,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch+070,65.0,6.3864,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw180_pitch+090,180.0,104.0533,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw065_pitch-090,65.0,8.9255,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw280_pitch+065,280.0,72.1288,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw280_pitch+080,280.0,82.529,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw040_pitch+090,40.0,26.4559,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw035_pitch+080,35.0,37.6772,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw005_pitch+090,5.0,78.787,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw345_pitch-040,345.0,124.0598,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw035_pitch+025,35.0,34.1523,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch+015,115.0,88.333,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch-025,115.0,173.4807,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw220_pitch+065,220.0,143.3418,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw330_pitch+040,330.0,138.5898,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw170_pitch+050,170.0,77.5985,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw170_pitch+000,170.0,18.7028,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw045_pitch-005,45.0,26.9287,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw140_pitch+020,140.0,86.9375,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw190_pitch-065,190.0,21.4949,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw335_pitch-060,335.0,135.711,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw315_pitch-015,315.0,83.86,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw260_pitch-080,260.0,66.0678,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch-030,270.0,77.7573,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw015_pitch+085,15.0,178.9054,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw105_pitch-025,105.0,134.1421,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw250_pitch-010,250.0,177.0659,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw335_pitch+025,335.0,144.8649,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw335_pitch+040,335.0,130.4159,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw160_pitch+090,160.0,92.3056,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw045_pitch-010,45.0,26.2752,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw300_pitch-025,300.0,85.1778,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw255_pitch-015,255.0,161.5221,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw240_pitch-025,240.0,157.5451,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch+035,115.0,168.2877,160.8977,0
neural,clean,G1,ocs_only,best,G1_yaw040_pitch-075,40.0,26.0973,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw325_pitch-085,325.0,100.581,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch+030,270.0,81.4868,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw175_pitch+010,175.0,22.5243,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw115_pitch+020,115.0,101.6388,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw135_pitch+030,135.0,42.8761,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw025_pitch-080,25.0,127.0353,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw080_pitch+010,80.0,0.0355,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw200_pitch-045,200.0,4.7017,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw195_pitch+050,195.0,52.5864,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw195_pitch+040,195.0,45.8091,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw220_pitch+030,220.0,143.9934,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw270_pitch+025,270.0,77.6844,160.8977,1
neural,clean,G1,ocs_only,best,G1_yaw265_pitch+040,265.0,113.1313,160.8977,1
