method,degrade_level,geom,mode,select,alpha,stratum,val_n,test_n,q_deg,coverage,target,set_size_deg,fallback_pooled
neural,clean,G3,joint,best,0.1,000-090,59,67,6.2313,0.9552,0.9,12.4626,False
neural,clean,G3,joint,best,0.1,090-180,64,76,6.3915,0.9211,0.9,12.783,False
neural,clean,G3,joint,best,0.1,180-270,70,69,3.4959,0.942,0.9,6.9918,False
neural,clean,G3,joint,best,0.1,270-360,66,84,5.3617,0.9643,0.9,10.7234,False
neural,clean,G3,joint,best,0.2,000-090,59,67,4.9244,0.9254,0.8,9.8489,False
neural,clean,G3,joint,best,0.2,090-180,64,76,4.2718,0.8026,0.8,8.5435,False
neural,clean,G3,joint,best,0.2,180-270,70,69,2.6414,0.7971,0.8,5.2829,False
neural,clean,G3,joint,best,0.2,270-360,66,84,3.3862,0.9167,0.8,6.7725,False
neural,clean,G3,joint,final,0.1,000-090,59,67,6.2313,0.9552,0.9,12.4626,False
neural,clean,G3,joint,final,0.1,090-180,64,76,6.3915,0.9211,0.9,12.783,False
neural,clean,G3,joint,final,0.1,180-270,70,69,3.4959,0.942,0.9,6.9918,False
neural,clean,G3,joint,final,0.1,270-360,66,84,5.3617,0.9643,0.9,10.7234,False
neural,clean,G3,joint,final,0.2,000-090,59,67,4.9244,0.9254,0.8,9.8489,False
neural,clean,G3,joint,final,0.2,090-180,64,76,4.2718,0.8026,0.8,8.5435,False
neural,clean,G3,joint,final,0.2,180-270,70,69,2.6414,0.7971,0.8,5.2829,False
neural,clean,G3,joint,final,0.2,270-360,66,84,3.3862,0.9167,0.8,6.7725,False
neural,clean,G5,ocs_only,best,0.1,000-090,59,67,53.0618,0.9254,0.9,106.1237,False
neural,clean,G5,ocs_only,best,0.1,090-180,64,76,81.215,0.9474,0.9,162.4301,False
neural,clean,G5,ocs_only,best,0.1,180-270,70,69,28.0909,0.8406,0.9,56.1819,False
neural,clean,G5,ocs_only,best,0.1,270-360,66,84,111.9851,0.9286,0.9,223.9702,False
neural,clean,G5,ocs_only,best,0.2,000-090,59,67,19.9138,0.7612,0.8,39.8275,False
neural,clean,G5,ocs_only,best,0.2,090-180,64,76,36.4305,0.8421,0.8,72.8611,False
neural,clean,G5,ocs_only,best,0.2,180-270,70,69,18.9727,0.8116,0.8,37.9453,False
neural,clean,G5,ocs_only,best,0.2,270-360,66,84,63.1404,0.7857,0.8,126.2809,False
neural,clean,G5,ocs_only,final,0.1,000-090,59,67,53.0618,0.9254,0.9,106.1237,False
neural,clean,G5,ocs_only,final,0.1,090-180,64,76,81.215,0.9474,0.9,162.4301,False
neural,clean,G5,ocs_only,final,0.1,180-270,70,69,28.0909,0.8406,0.9,56.1819,False
neural,clean,G5,ocs_only,final,0.1,270-360,66,84,111.9851,0.9286,0.9,223.9702,False
neural,clean,G5,ocs_only,final,0.2,000-090,59,67,19.9138,0.7612,0.8,39.8275,False
neural,clean,G5,ocs_only,final,0.2,090-180,64,76,36.4305,0.8421,0.8,72.8611,False
neural,clean,G5,ocs_only,final,0.2,180-270,70,69,18.9727,0.8116,0.8,37.9453,False
neural,clean,G5,ocs_only,final,0.2,270-360,66,84,63.1404,0.7857,0.8,126.2809,False
neural,clean,G5,image_only,best,0.1,000-090,59,67,12.9466,0.9552,0.9,25.8931,False
neural,clean,G5,image_only,best,0.1,090-180,64,76,30.1853,0.9737,0.9,60.3707,False
neural,clean,G5,image_only,best,0.1,180-270,70,69,18.8773,0.8696,0.9,37.7545,False
neural,clean,G5,image_only,best,0.1,270-360,66,84,15.0,0.9405,0.9,30.0,False
neural,clean,G5,image_only,best,0.2,000-090,59,67,11.2563,0.9403,0.8,22.5126,False
neural,clean,G5,image_only,best,0.2,090-180,64,76,19.6565,0.7105,0.8,39.3131,False
neural,clean,G5,image_only,best,0.2,180-270,70,69,9.8044,0.6087,0.8,19.6087,False
neural,clean,G5,image_only,best,0.2,270-360,66,84,12.4068,0.9286,0.8,24.8135,False
neural,clean,G5,image_only,final,0.1,000-090,59,67,17.1212,0.8806,0.9,34.2424,False
neural,clean,G5,image_only,final,0.1,090-180,64,76,22.6222,0.9474,0.9,45.2444,False
