seed_record_id,category,roll,ocs_total,delta_ocs_vs_roll0,rel_delta_pct,brightness_rank,rank_shift_vs_roll0,local_contrast,image_usable,glint_flag,saturation_flag
yaw165_pitch-020,image-hard-seed,-30,2.324182e-02,2.384034e-03,11.430,6,-4,0.911566,1,1,0
yaw165_pitch-020,image-hard-seed,-15,2.277292e-02,1.915139e-03,9.182,9,-1,0.709100,1,1,0
yaw165_pitch-020,image-hard-seed,0,2.085778e-02,0.000000e+00,0.000,10,0,0.602180,1,1,0
yaw165_pitch-020,image-hard-seed,15,1.820697e-02,-2.650815e-03,-12.709,10,0,0.585442,1,1,0
yaw165_pitch-020,image-hard-seed,30,1.788690e-02,-2.970881e-03,-14.244,11,1,1.354735,1,1,0
yaw165_pitch-020,image-hard-seed,45,2.068453e-02,-1.732513e-04,-0.831,8,-2,0.952953,1,1,0
yaw165_pitch-020,image-hard-seed,60,2.153338e-02,6.756008e-04,3.239,7,-3,0.835264,1,1,0
yaw285_pitch-070,dark-seed,-60,2.234971e-02,1.172139e-02,110.285,7,-5,0.476275,1,0,0
yaw285_pitch-070,dark-seed,-45,2.483141e-02,1.420309e-02,133.634,5,-7,0.844920,1,1,0
yaw285_pitch-070,dark-seed,-30,2.092142e-02,1.029310e-02,96.846,9,-3,0.609732,1,1,0
yaw285_pitch-070,dark-seed,-15,1.462719e-02,3.998869e-03,37.625,11,-1,0.731203,1,1,0
yaw285_pitch-070,dark-seed,0,1.062832e-02,0.000000e+00,0.000,12,0,1.062794,1,1,0
yaw285_pitch-070,dark-seed,15,1.357253e-02,2.944213e-03,27.702,12,0,0.851574,1,1,0
yaw285_pitch-070,dark-seed,30,1.888847e-02,8.260149e-03,77.718,10,-2,0.512822,1,1,0
yaw285_pitch-070,dark-seed,45,2.553694e-02,1.490862e-02,140.273,5,-7,1.162971,1,1,0
yaw285_pitch-070,dark-seed,60,2.218076e-02,1.155244e-02,108.695,5,-7,0.714687,1,1,0
yaw150_pitch+010,robust-easy-seed,-60,1.748387e-01,-1.130402e-04,-0.065,3,0,0.441797,1,0,1
yaw150_pitch+010,robust-easy-seed,-45,1.750517e-01,9.997187e-05,0.057,3,0,0.470165,1,0,1
yaw150_pitch+010,robust-easy-seed,-30,1.753284e-01,3.767311e-04,0.215,3,0,0.470598,1,0,1
yaw150_pitch+010,robust-easy-seed,-15,1.738558e-01,-1.095861e-03,-0.626,3,0,0.626681,1,0,0
yaw150_pitch+010,robust-easy-seed,0,1.749517e-01,0.000000e+00,0.000,3,0,0.484533,1,0,1
yaw150_pitch+010,robust-easy-seed,15,1.719062e-01,-3.045514e-03,-1.741,4,1,0.467977,1,0,0
yaw150_pitch+010,robust-easy-seed,30,1.694736e-01,-5.478129e-03,-3.131,3,0,0.442097,1,0,0
yaw150_pitch+010,robust-easy-seed,45,1.663204e-01,-8.631319e-03,-4.934,3,0,0.432673,1,0,0
yaw150_pitch+010,robust-easy-seed,60,1.640485e-01,-1.090322e-02,-6.232,3,0,0.419733,1,0,0
