geom,degrade_level,query_split,similarity,template_mode,stratum_type,stratum,n,top1_yaw_cmae,top1_yaw_hit@30
G3,clean,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,23.0556,0.8194
G3,clean,test,cosine,matched-degraded,yaw_sector,000-090,67,44.7015,0.7015
G3,clean,test,cosine,matched-degraded,yaw_sector,090-180,76,45.3289,0.7105
G3,clean,test,cosine,matched-degraded,yaw_sector,180-270,69,37.029,0.7101
G3,clean,test,cosine,matched-degraded,yaw_sector,270-360,84,52.381,0.631
G3,clean,test,cosine,matched-degraded,pitch_bin,+00..+45,72,45.2083,0.6944
G3,clean,test,cosine,matched-degraded,pitch_bin,+45..+90,72,40.1389,0.75
G3,clean,test,cosine,matched-degraded,pitch_bin,+90..+135,8,54.375,0.625
G3,clean,test,cosine,matched-degraded,pitch_bin,-45..+00,72,38.4028,0.7222
G3,clean,test,cosine,matched-degraded,pitch_bin,-90..-45,72,56.25,0.5833
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,000-090,67,18.209,0.8955
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,090-180,76,23.6842,0.8421
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,180-270,69,16.3043,0.8406
G3,clean,test,zscore-neg-L2,matched-degraded,yaw_sector,270-360,84,41.3095,0.7381
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,72,36.4583,0.7639
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,72,23.6806,0.8472
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,8,53.75,0.625
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,72,16.8056,0.8889
G3,clean,test,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,72,22.8472,0.8194
G5,clean,val,neg-L2,matched-degraded,yaw_sector,000-090,59,0.2542,1.0
G5,clean,val,neg-L2,matched-degraded,yaw_sector,090-180,64,15.7031,0.9062
G5,clean,val,neg-L2,matched-degraded,yaw_sector,180-270,70,8.2857,0.9429
G5,clean,val,neg-L2,matched-degraded,yaw_sector,270-360,66,12.0455,0.9091
G5,clean,val,neg-L2,matched-degraded,pitch_bin,+00..+45,63,8.5714,0.9365
G5,clean,val,neg-L2,matched-degraded,pitch_bin,+45..+90,63,5.873,0.9683
G5,clean,val,neg-L2,matched-degraded,pitch_bin,+90..+135,7,25.7143,0.8571
G5,clean,val,neg-L2,matched-degraded,pitch_bin,-45..+00,63,11.5873,0.9206
G5,clean,val,neg-L2,matched-degraded,pitch_bin,-90..-45,63,9.127,0.9365
G5,clean,val,cosine,matched-degraded,yaw_sector,000-090,59,18.3051,0.8983
G5,clean,val,cosine,matched-degraded,yaw_sector,090-180,64,12.8906,0.9219
G5,clean,val,cosine,matched-degraded,yaw_sector,180-270,70,21.9286,0.8571
G5,clean,val,cosine,matched-degraded,yaw_sector,270-360,66,26.8939,0.8182
G5,clean,val,cosine,matched-degraded,pitch_bin,+00..+45,63,17.0635,0.8889
G5,clean,val,cosine,matched-degraded,pitch_bin,+45..+90,63,11.0317,0.9206
G5,clean,val,cosine,matched-degraded,pitch_bin,+90..+135,7,25.7143,0.8571
G5,clean,val,cosine,matched-degraded,pitch_bin,-45..+00,63,24.127,0.8571
G5,clean,val,cosine,matched-degraded,pitch_bin,-90..-45,63,27.6984,0.8254
G5,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,000-090,59,3.3051,0.9831
G5,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,090-180,64,22.4219,0.875
G5,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,180-270,70,8.3571,0.9429
G5,clean,val,zscore-neg-L2,matched-degraded,yaw_sector,270-360,66,14.0152,0.8939
G5,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+00..+45,63,10.3968,0.9206
G5,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+45..+90,63,5.873,0.9683
G5,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,+90..+135,7,75.7143,0.5714
G5,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,-45..+00,63,11.8254,0.9206
G5,clean,val,zscore-neg-L2,matched-degraded,pitch_bin,-90..-45,63,13.3333,0.9206
G5,clean,test,neg-L2,matched-degraded,yaw_sector,000-090,67,5.597,0.9701
G5,clean,test,neg-L2,matched-degraded,yaw_sector,090-180,76,13.4211,0.9211
G5,clean,test,neg-L2,matched-degraded,yaw_sector,180-270,69,4.1304,0.971
G5,clean,test,neg-L2,matched-degraded,yaw_sector,270-360,84,8.869,0.9405
G5,clean,test,neg-L2,matched-degraded,pitch_bin,+00..+45,72,7.9861,0.9444
G5,clean,test,neg-L2,matched-degraded,pitch_bin,+45..+90,72,11.1111,0.9306
G5,clean,test,neg-L2,matched-degraded,pitch_bin,+90..+135,8,1.25,1.0
G5,clean,test,neg-L2,matched-degraded,pitch_bin,-45..+00,72,0.6944,1.0
G5,clean,test,neg-L2,matched-degraded,pitch_bin,-90..-45,72,13.75,0.9167
G5,clean,test,cosine,matched-degraded,yaw_sector,000-090,67,33.7313,0.806
G5,clean,test,cosine,matched-degraded,yaw_sector,090-180,76,10.3289,0.9342
