geom,degrade_level,query_split,similarity,template_mode,n_template,n_query,top1_yaw_cmae,top1_yaw_hit@15,top1_yaw_hit@30,top1_yaw_hit@45,top1_pitch_mae,nn_distance_mean,margin_mean,topk1_best_yaw_cmae,topk3_best_yaw_cmae,topk5_best_yaw_cmae,topk10_best_yaw_cmae,topk1_best_yaw_hit@30,topk3_best_yaw_hit@30,topk5_best_yaw_hit@30,topk10_best_yaw_hit@30
G3,degraded-moderate,val,neg-L2,clean-template,2109,259,48.7066,0.61,0.6486,0.6602,57.0656,9e-06,5e-06,48.7066,28.668,19.7876,9.7683,0.6486,0.7799,0.834,0.9112
G3,degraded-moderate,val,cosine,clean-template,2109,259,69.2278,0.4286,0.5019,0.5174,59.1699,-0.999932,9.3e-05,69.2278,37.4517,25.3861,14.4015,0.5019,0.7066,0.7876,0.8687
G3,degraded-moderate,val,zscore-neg-L2,clean-template,2109,259,48.3977,0.6178,0.6525,0.6641,56.7181,0.027191,0.0138,48.3977,28.5521,19.5367,8.5714,0.6525,0.7799,0.834,0.9266
G3,degraded-moderate,test,neg-L2,clean-template,2109,296,50.4223,0.5845,0.6318,0.6453,50.0676,7e-06,5e-06,50.4223,28.9358,19.0203,10.0507,0.6318,0.7872,0.8615,0.9223
G3,degraded-moderate,test,cosine,clean-template,2109,296,71.6892,0.4257,0.4932,0.527,58.4797,-0.999911,7.4e-05,71.6892,38.6486,27.0439,15.6588,0.4932,0.6926,0.7804,0.8716
G3,degraded-moderate,test,zscore-neg-L2,clean-template,2109,296,50.7432,0.5811,0.6284,0.6419,51.25,0.021079,0.014655,50.7432,29.9662,19.8986,9.6959,0.6284,0.7736,0.848,0.9257
G5,degraded-moderate,val,neg-L2,matched-degraded,2109,259,36.8726,0.7761,0.7761,0.7761,52.5483,3.2e-05,2e-05,36.8726,12.8571,4.9421,1.5444,0.7761,0.9151,0.9691,0.9884
G5,degraded-moderate,val,cosine,matched-degraded,2109,259,52.027,0.6718,0.6757,0.6757,51.6795,-0.99915,0.000451,52.027,14.0347,5.5019,2.278,0.6757,0.8958,0.9537,0.9768
G5,degraded-moderate,val,zscore-neg-L2,matched-degraded,2109,259,36.4672,0.7761,0.7761,0.7761,49.8263,0.058593,0.044046,36.4672,14.5367,5.6757,1.5637,0.7761,0.9073,0.9653,0.9884
G5,degraded-moderate,test,neg-L2,matched-degraded,2109,296,34.7128,0.7804,0.7804,0.7804,47.3649,3.1e-05,1.6e-05,34.7128,10.5912,4.7297,2.9223,0.7804,0.9223,0.9561,0.973
G5,degraded-moderate,test,cosine,matched-degraded,2109,296,52.5676,0.6622,0.6655,0.6655,53.8851,-0.999181,0.000525,52.5676,16.7061,9.8818,3.2264,0.6655,0.8818,0.9223,0.9764
G5,degraded-moderate,test,zscore-neg-L2,matched-degraded,2109,296,33.1081,0.7939,0.7939,0.7973,47.8547,0.060051,0.028096,33.1081,12.2297,5.4223,2.0439,0.7939,0.9155,0.9628,0.9831
G5,degraded-moderate,val,neg-L2,clean-template,2109,259,28.8996,0.8224,0.8224,0.8224,45.9459,2.6e-05,1.9e-05,28.8996,15.6178,9.305,4.4402,0.8224,0.9035,0.9421,0.973
G5,degraded-moderate,val,cosine,clean-template,2109,259,40.1737,0.7375,0.7452,0.749,48.1853,-0.999114,0.000393,40.1737,21.1776,11.9305,6.0039,0.7452,0.8533,0.9112,0.9537
G5,degraded-moderate,val,zscore-neg-L2,clean-template,2109,259,36.2162,0.7683,0.7683,0.7683,46.9884,0.054177,0.039892,36.2162,17.722,11.8147,6.7954,0.7683,0.888,0.9228,0.9575
G5,degraded-moderate,test,neg-L2,clean-template,2109,296,31.7736,0.8007,0.8007,0.8007,39.3412,2.8e-05,2.2e-05,31.7736,16.3176,9.8649,5.7939,0.8007,0.8986,0.9358,0.9628
G5,degraded-moderate,test,cosine,clean-template,2109,296,47.6689,0.7027,0.7061,0.7061,49.2061,-0.999148,0.000452,47.6689,20.9966,12.2973,4.0203,0.7061,0.8514,0.9122,0.9696
G5,degraded-moderate,test,zscore-neg-L2,clean-template,2109,296,34.0878,0.7905,0.7905,0.7905,40.0845,0.049438,0.039019,34.0878,18.6993,12.1622,7.4324,0.7905,0.8851,0.9223,0.9527
