geom_id,pose_id,label,camera_exr_src,camera_exr_status,sun_exr_src,sun_exr_status
Hsm_vm,D2,yaw2450_pitchp0325_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,D3,yaw2475_pitchp0375_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,D4,yaw2425_pitchp0225_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,D5_roll125,yaw2450_pitchp0275_roll+0125,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,D6_roll175,yaw2475_pitchp0300_roll+0175,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,E1_R4roll-15,yaw1475_pitchp0125_roll-015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,E2_R4roll+15,yaw1475_pitchp0125_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,F1_edge,yaw2425_pitchp0275_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,F2_edge,yaw2475_pitchp0300_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
Hsm_vm,F3_edge,yaw240_pitch+015_roll+015,REUSED_26/G4_view_minus,OK,REUSED_26/G2_sun_minus,OK
