pose_label,yaw,pitch,roll,ocs_total,src_pkg,region,category,selection_reason
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947678,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942464,P3,R3_low_info_connectivity,low-info/ocs-hard,region_top_R3_low_info_connectivity
yaw060_pitch+080_roll+000,60.0,80.0,0.0,0.06887131,01,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw060_pitch+075_roll+000,60.0,75.0,0.0,0.06868044,01,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw055_pitch+080_roll+000,55.0,80.0,0.0,0.06783147,01,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw055_pitch+075_roll+000,55.0,75.0,0.0,0.06736573,01,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.06625763,01,R3_low_info_connectivity,low-info/ocs-hard,forced_R3_negative
yaw065_pitch+080_roll+000,65.0,80.0,0.0,0.05331339,01,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw065_pitch+075_roll+000,65.0,75.0,0.0,0.05287804,01,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw055_pitch+075_roll-015,55.0,75.0,-15.0,0.05145380,P2,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw075_pitch+080_roll+015,75.0,80.0,15.0,0.04813331,P2,R3_low_info,low-info/ocs-hard,region_top_R3_low_info
yaw2850_pitchm0850_roll+045,285.0,-85.0,45.0,0.03591157,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw2800_pitchm0850_roll+045,280.0,-85.0,45.0,0.03566181,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw140_pitch+025_roll+045,140.0,25.0,45.0,0.03442476,P2,R4_bright_robust,bright/robust-easy,region_bottom_R4_bright_robust
yaw275_pitch-085_roll+060,275.0,-85.0,60.0,0.03441612,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw140_pitch+025_roll-060,140.0,25.0,-60.0,0.03437422,P2,R4_bright_robust,bright/robust-easy,region_bottom_R4_bright_robust
yaw295_pitch-085_roll+030,295.0,-85.0,30.0,0.03392995,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw160_pitch+005_roll+045,160.0,5.0,45.0,0.03250931,P2,R4_bright_robust,bright/robust-easy,region_bottom_R4_bright_robust
yaw290_pitch-085_roll+045,290.0,-85.0,45.0,0.03250524,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw2800_pitchm0850_roll-045,280.0,-85.0,-45.0,0.03242260,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw160_pitch+005_roll+060,160.0,5.0,60.0,0.03186044,P2,R4_bright_robust,bright/robust-easy,region_bottom_R4_bright_robust
yaw2850_pitchm0800_roll+045,285.0,-80.0,45.0,0.03157381,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw2850_pitchm0850_roll-045,285.0,-85.0,-45.0,0.03154575,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw275_pitch-085_roll+045,275.0,-85.0,45.0,0.03150469,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw275_pitch-080_roll+060,275.0,-80.0,60.0,0.03108933,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw295_pitch-085_roll-060,295.0,-85.0,-60.0,0.03049311,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw290_pitch-085_roll+030,290.0,-85.0,30.0,0.03048280,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw2800_pitchm0800_roll+045,280.0,-80.0,45.0,0.03037510,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw2800_pitchm0850_roll+060,280.0,-85.0,60.0,0.02976344,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw295_pitch-085_roll+045,295.0,-85.0,45.0,0.02933454,P2,R2_dark_rollsens,dark/roll-sensitive,region_top_R2_dark_rollsens
yaw2800_pitchm0800_roll+060,280.0,-80.0,60.0,0.02740198,P3,R2_control,dark/roll-sensitive-control,region_top_R2_control
yaw1600_pitchp0250_roll+015,160.0,25.0,15.0,0.02485918,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_bottom_R4_bright_info_boundary
yaw2100_pitchm0050_roll+015,210.0,-5.0,15.0,0.02404943,P3,R5_control,neutral-control,region_top_R5_control
yaw1600_pitchp0250_roll+030,160.0,25.0,30.0,0.02392281,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_bottom_R4_bright_info_boundary
yaw1600_pitchp0250_roll+045,160.0,25.0,45.0,0.02383018,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_bottom_R4_bright_info_boundary
yaw210_pitch+000_roll+015,210.0,0.0,15.0,0.02362855,P2,R5_neutral,neutral-control,region_top_R5_neutral
yaw1600_pitchp0250_roll+060,160.0,25.0,60.0,0.02358512,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_bottom_R4_bright_info_boundary
yaw2100_pitchm0100_roll+015,210.0,-10.0,15.0,0.02353417,P3,R5_control,neutral-control,region_top_R5_control
yaw210_pitch+005_roll+015,210.0,5.0,15.0,0.02318248,P2,R5_neutral,neutral-control,region_top_R5_neutral
yaw210_pitch+010_roll+015,210.0,10.0,15.0,0.02239743,P2,R5_neutral,neutral-control,region_top_R5_neutral
yaw2100_pitchm0100_roll+030,210.0,-10.0,30.0,0.02227096,P3,R5_control,neutral-control,region_top_R5_control
yaw210_pitch-010_roll+000,210.0,-10.0,0.0,0.02108413,01,R5_control,neutral-control,region_top_R5_control
yaw210_pitch+010_roll+000,210.0,10.0,0.0,0.02100427,01,R5_neutral,neutral-control,region_top_R5_neutral
yaw2050_pitchm0100_roll+015,205.0,-10.0,15.0,0.02095003,P3,R5_control,neutral-control,region_top_R5_control
yaw210_pitch-005_roll+000,210.0,-5.0,0.0,0.02091657,01,R5_control,neutral-control,region_top_R5_control
yaw2050_pitchm0050_roll+015,205.0,-5.0,15.0,0.02088916,P3,R5_control,neutral-control,region_top_R5_control
yaw2100_pitchm0050_roll+030,210.0,-5.0,30.0,0.02076911,P3,R5_control,neutral-control,region_top_R5_control
yaw210_pitch+000_roll+000,210.0,0.0,0.0,0.02076138,01,R5_neutral,neutral-control,region_top_R5_neutral
yaw210_pitch+005_roll+000,210.0,5.0,0.0,0.02071600,01,R5_neutral,neutral-control,region_top_R5_neutral
yaw190_pitch-010_roll+030,190.0,-10.0,30.0,0.02059212,P2,R5_neutral,neutral-control,region_top_R5_neutral
yaw205_pitch+005_roll+015,205.0,5.0,15.0,0.02036964,P2,R5_neutral,neutral-control,region_top_R5_neutral
yaw235_pitch+035_roll+060,235.0,35.0,60.0,0.02002093,P2,R1_high_info,high-info,region_bottom_R1_high_info
yaw230_pitch+025_roll+060,230.0,25.0,60.0,0.01958523,P2,R1_high_info,high-info,region_bottom_R1_high_info
yaw230_pitch+030_roll+060,230.0,30.0,60.0,0.01955692,P2,R1_high_info,high-info,region_bottom_R1_high_info
yaw230_pitch+035_roll+060,230.0,35.0,60.0,0.01917412,P2,R1_high_info,high-info,region_bottom_R1_high_info
yaw2100_pitchm0100_roll+060,210.0,-10.0,60.0,0.01488927,P3,R5_control,neutral-control,region_bottom_R5_control
yaw2100_pitchm0050_roll+060,210.0,-5.0,60.0,0.01445543,P3,R5_control,neutral-control,region_bottom_R5_control
