pose_label,yaw,pitch,roll,ocs_total,n_metal_px,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947677,4667,0.06840193,0.00000000,0.00107484,98.453,0.000,1.547
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942465,3947,0.06826966,0.00000000,0.00115499,98.336,0.000,1.664
yaw060_pitch+080_roll+000,60.0,80.0,0.0,0.06887131,4261,0.06789150,0.00000000,0.00097981,98.577,0.000,1.423
yaw060_pitch+075_roll+000,60.0,75.0,0.0,0.06868044,4362,0.06754958,0.00000000,0.00113086,98.353,0.000,1.647
yaw055_pitch+080_roll+000,55.0,80.0,0.0,0.06783147,4447,0.06673472,0.00000000,0.00109674,98.383,0.000,1.617
yaw055_pitch+075_roll+000,55.0,75.0,0.0,0.06736573,4525,0.06627258,0.00000000,0.00109316,98.377,0.000,1.623
yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.06625763,4045,0.06526623,0.00000000,0.00099140,98.504,0.000,1.496
yaw065_pitch+080_roll+000,65.0,80.0,0.0,0.05331339,4053,0.05241039,0.00000000,0.00090300,98.306,0.000,1.694
yaw065_pitch+075_roll+000,65.0,75.0,0.0,0.05287804,4163,0.05188324,0.00000000,0.00099480,98.119,0.000,1.881
yaw055_pitch+075_roll-015,55.0,75.0,-15.0,0.05145379,3839,0.05051350,0.00000000,0.00094030,98.173,0.000,1.827
yaw075_pitch+080_roll+015,75.0,80.0,15.0,0.04813331,4314,0.04727969,0.00000000,0.00085361,98.227,0.000,1.773
yaw2850_pitchm0850_roll+045,285.0,-85.0,45.0,0.03591157,881,0.00816225,0.00001381,0.02773551,22.729,0.038,77.233
yaw2800_pitchm0850_roll+045,280.0,-85.0,45.0,0.03566181,907,0.00795587,0.00001472,0.02769122,22.309,0.041,77.649
yaw140_pitch+025_roll+045,140.0,25.0,45.0,0.03442476,2353,0.03263686,0.00057025,0.00121765,94.806,1.657,3.537
yaw275_pitch-085_roll+060,275.0,-85.0,60.0,0.03441612,869,0.00719269,0.00001197,0.02721146,20.899,0.035,79.066
yaw140_pitch+025_roll-060,140.0,25.0,-60.0,0.03437422,2439,0.03282359,0.00070609,0.00084454,95.489,2.054,2.457
yaw295_pitch-085_roll+030,295.0,-85.0,30.0,0.03392995,909,0.00745438,0.00001836,0.02645721,21.970,0.054,77.976
yaw160_pitch+005_roll+045,160.0,5.0,45.0,0.03250931,2031,0.03057584,0.00071279,0.00122069,94.053,2.193,3.755
yaw290_pitch-085_roll+045,290.0,-85.0,45.0,0.03250524,883,0.00714665,0.00001412,0.02534447,21.986,0.043,77.970
yaw2800_pitchm0850_roll-045,280.0,-85.0,-45.0,0.03242260,2620,0.02440888,0.00698189,0.00103183,75.284,21.534,3.182
yaw160_pitch+005_roll+060,160.0,5.0,60.0,0.03186044,2701,0.02998439,0.00071089,0.00116516,94.112,2.231,3.657
yaw2850_pitchm0800_roll+045,285.0,-80.0,45.0,0.03157381,991,0.00888734,0.00004182,0.02264465,28.148,0.132,71.720
yaw2850_pitchm0850_roll-045,285.0,-85.0,-45.0,0.03154576,2450,0.02348566,0.00697548,0.00108461,74.450,22.112,3.438
yaw275_pitch-085_roll+045,275.0,-85.0,45.0,0.03150469,879,0.00639825,0.00001629,0.02509016,20.309,0.052,79.639
yaw275_pitch-080_roll+060,275.0,-80.0,60.0,0.03108933,954,0.00744437,0.00003406,0.02361089,23.945,0.110,75.945
yaw295_pitch-085_roll-060,295.0,-85.0,-60.0,0.03049311,2634,0.02273162,0.00688181,0.00087969,74.547,22.568,2.885
yaw290_pitch-085_roll+030,290.0,-85.0,30.0,0.03048280,900,0.00637081,0.00001963,0.02409236,20.900,0.064,79.036
yaw2800_pitchm0800_roll+045,280.0,-80.0,45.0,0.03037510,1008,0.00765615,0.00003741,0.02268153,25.205,0.123,74.671
yaw2800_pitchm0850_roll+060,280.0,-85.0,60.0,0.02976344,863,0.00705628,0.00001349,0.02269367,23.708,0.045,76.247
yaw295_pitch-085_roll+045,295.0,-85.0,45.0,0.02933454,882,0.00715820,0.00001049,0.02216585,24.402,0.036,75.562
yaw2800_pitchm0800_roll+060,280.0,-80.0,60.0,0.02740198,956,0.00717730,0.00003542,0.02018926,26.193,0.129,73.678
yaw1600_pitchp0250_roll+015,160.0,25.0,15.0,0.02485918,2084,0.02283293,0.00068688,0.00133937,91.849,2.763,5.388
yaw2100_pitchm0050_roll+015,210.0,-5.0,15.0,0.02404943,2850,0.01871292,0.00480790,0.00052861,77.810,19.992,2.198
yaw1600_pitchp0250_roll+030,160.0,25.0,30.0,0.02392282,1892,0.02215002,0.00064826,0.00112454,92.590,2.710,4.701
yaw1600_pitchp0250_roll+045,160.0,25.0,45.0,0.02383017,1867,0.02204656,0.00056766,0.00121595,92.515,2.382,5.103
yaw210_pitch+000_roll+015,210.0,0.0,15.0,0.02362855,2856,0.01860093,0.00460432,0.00042330,78.722,19.486,1.791
yaw1600_pitchp0250_roll+060,160.0,25.0,60.0,0.02358512,1866,0.02192103,0.00038683,0.00127726,92.944,1.640,5.416
yaw2100_pitchm0100_roll+015,210.0,-10.0,15.0,0.02353417,2824,0.01788337,0.00507769,0.00057311,75.989,21.576,2.435
yaw210_pitch+005_roll+015,210.0,5.0,15.0,0.02318248,2823,0.01845040,0.00430153,0.00043055,79.588,18.555,1.857
yaw210_pitch+010_roll+015,210.0,10.0,15.0,0.02239744,2825,0.01791479,0.00405547,0.00042718,79.986,18.107,1.907
yaw2100_pitchm0100_roll+030,210.0,-10.0,30.0,0.02227095,2371,0.01687162,0.00491698,0.00048236,75.756,22.078,2.166
yaw210_pitch-010_roll+000,210.0,-10.0,0.0,0.02108413,3245,0.01622497,0.00388319,0.00097597,76.953,18.418,4.629
yaw210_pitch+010_roll+000,210.0,10.0,0.0,0.02100427,3272,0.01652063,0.00388477,0.00059888,78.654,18.495,2.851
yaw2050_pitchm0100_roll+015,205.0,-10.0,15.0,0.02095003,2879,0.01637601,0.00411908,0.00045494,78.167,19.661,2.172
yaw210_pitch-005_roll+000,210.0,-5.0,0.0,0.02091657,3266,0.01620082,0.00390150,0.00081425,77.454,18.653,3.893
yaw2050_pitchm0050_roll+015,205.0,-5.0,15.0,0.02088916,2885,0.01654063,0.00389624,0.00045229,79.183,18.652,2.165
yaw2100_pitchm0050_roll+030,210.0,-5.0,30.0,0.02076911,2371,0.01579710,0.00450467,0.00046734,76.061,21.689,2.250
yaw210_pitch+000_roll+000,210.0,0.0,0.0,0.02076138,3270,0.01609015,0.00390120,0.00077003,77.500,18.791,3.709
yaw210_pitch+005_roll+000,210.0,5.0,0.0,0.02071600,3300,0.01616918,0.00387885,0.00066797,78.052,18.724,3.224
yaw190_pitch-010_roll+030,190.0,-10.0,30.0,0.02059212,2970,0.01758797,0.00252572,0.00047843,85.411,12.265,2.323
yaw205_pitch+005_roll+015,205.0,5.0,15.0,0.02036964,2888,0.01651389,0.00345708,0.00039867,81.071,16.972,1.957
yaw235_pitch+035_roll+060,235.0,35.0,60.0,0.02002093,2047,0.00847166,0.00173687,0.00981240,42.314,8.675,49.011
yaw230_pitch+025_roll+060,230.0,25.0,60.0,0.01958523,1838,0.00810662,0.00175161,0.00972700,41.392,8.944,49.665
yaw230_pitch+030_roll+060,230.0,30.0,60.0,0.01955692,1926,0.00797940,0.00158743,0.00999009,40.801,8.117,51.082
yaw230_pitch+035_roll+060,230.0,35.0,60.0,0.01917412,2016,0.00754414,0.00138964,0.01024034,39.345,7.247,53.407
yaw2100_pitchm0100_roll+060,210.0,-10.0,60.0,0.01488927,1583,0.00871209,0.00233028,0.00384691,58.512,15.651,25.837
yaw2100_pitchm0050_roll+060,210.0,-5.0,60.0,0.01445543,1585,0.00793878,0.00213086,0.00438579,54.919,14.741,30.340
yaw060_pitch+080_roll+060,60.0,80.0,60.0,0.01360392,1858,0.01280877,0.00000000,0.00079514,94.155,0.000,5.845
yaw065_pitch+075_roll+060,65.0,75.0,60.0,0.01358642,5460,0.01271882,0.00000000,0.00086760,93.614,0.000,6.386
yaw2050_pitchm0100_roll+060,205.0,-10.0,60.0,0.01356113,1605,0.00865311,0.00227785,0.00263017,63.808,16.797,19.395
