pose_label,yaw,pitch,roll,ocs_total,avgN_vs_sun_deg,avgN_vs_det_deg,avgN_vs_H_deg,weighted_metal_NH,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal
yaw075_pitch+080_roll+015,75.0,80.0,15.0,0.04813331,34.168,33.295,12.595,0.93927,21.422,0.742,4.55024e-02
yaw2850_pitchm0850_roll+045,285.0,-85.0,45.0,0.03591157,32.587,30.836,3.426,0.90062,5.911,0.795,3.89894e-02
yaw2800_pitchm0850_roll+045,280.0,-85.0,45.0,0.03566181,36.587,26.774,5.731,0.89961,11.043,0.772,3.67391e-02
yaw140_pitch+025_roll+045,140.0,25.0,45.0,0.03442476,37.295,30.331,13.285,0.96317,22.924,0.297,7.96057e-02
yaw275_pitch-085_roll+060,275.0,-85.0,60.0,0.03441612,30.155,33.677,5.347,0.88212,9.298,0.230,2.51317e-02
yaw140_pitch+025_roll-060,140.0,25.0,-60.0,0.03437422,38.166,29.945,14.125,0.96303,24.454,0.082,7.62775e-02
yaw295_pitch-085_roll+030,295.0,-85.0,30.0,0.03392995,36.186,27.153,5.330,0.88849,10.247,0.220,2.91727e-02
yaw160_pitch+005_roll+045,160.0,5.0,45.0,0.03250931,22.743,42.885,13.813,0.95940,25.940,0.345,6.89932e-02
yaw290_pitch-085_roll+045,290.0,-85.0,45.0,0.03250524,29.269,34.387,5.077,0.87421,9.063,0.000,2.19035e-02
yaw2800_pitchm0850_roll-045,280.0,-85.0,-45.0,0.03242260,37.895,28.584,11.961,0.91928,20.987,0.687,3.24445e-02
yaw160_pitch+005_roll+060,160.0,5.0,60.0,0.03186044,22.767,42.944,13.934,0.95675,26.139,0.222,5.02676e-02
yaw2850_pitchm0800_roll+045,285.0,-80.0,45.0,0.03157381,32.478,30.665,1.386,0.87670,2.546,4.440,3.90409e-02
yaw2850_pitchm0850_roll-045,285.0,-85.0,-45.0,0.03154576,33.741,33.297,11.939,0.91770,20.308,0.490,3.07203e-02
yaw275_pitch-085_roll+045,275.0,-85.0,45.0,0.03150469,40.518,22.774,9.219,0.88317,18.263,0.000,2.03843e-02
yaw275_pitch-080_roll+060,275.0,-80.0,60.0,0.03108933,29.852,33.278,1.885,0.85859,3.678,2.935,2.37139e-02
yaw295_pitch-085_roll-060,295.0,-85.0,-60.0,0.03049311,37.923,28.710,12.179,0.90960,21.334,0.607,2.36971e-02
yaw290_pitch-085_roll+030,290.0,-85.0,30.0,0.03048280,39.672,23.483,8.186,0.87009,16.325,0.000,1.81498e-02
yaw2800_pitchm0800_roll+045,280.0,-80.0,45.0,0.03037510,36.325,26.910,5.147,0.85513,10.064,3.968,2.78106e-02
yaw2800_pitchm0850_roll+060,280.0,-85.0,60.0,0.02976344,27.470,35.938,5.325,0.87055,10.107,1.970,2.29773e-02
yaw295_pitch-085_roll+045,295.0,-85.0,45.0,0.02933454,26.915,36.625,6.215,0.86581,11.761,2.494,1.99929e-02
yaw2800_pitchm0800_roll+060,280.0,-80.0,60.0,0.02740198,27.280,35.867,4.434,0.84000,8.793,0.523,1.92970e-02
yaw1600_pitchp0250_roll+015,160.0,25.0,15.0,0.02485918,21.032,45.459,16.415,0.94532,31.005,0.000,2.67281e-02
yaw2100_pitchm0050_roll+015,210.0,-5.0,15.0,0.02404943,50.563,14.137,19.657,0.90717,38.765,0.912,1.13183e-02
yaw1600_pitchp0250_roll+030,160.0,25.0,30.0,0.02392282,20.456,45.836,16.549,0.94604,31.425,0.211,2.82682e-02
yaw1600_pitchp0250_roll+045,160.0,25.0,45.0,0.02383017,20.427,45.522,16.059,0.94645,30.581,0.643,2.97794e-02
yaw210_pitch+000_roll+015,210.0,0.0,15.0,0.02362855,50.955,13.869,20.069,0.90165,39.566,1.366,1.27151e-02
yaw1600_pitchp0250_roll+060,160.0,25.0,60.0,0.02358512,20.568,45.234,15.726,0.94738,29.958,0.268,2.98896e-02
