pose_label,yaw,pitch,roll,ocs_total,ocs_rank,role,region,near_specular_metal,strong_surface_highlight,dark_panel_increment
yaw1600_pitchp0250_roll+060,160.0,25.0,60.0,0.02358512,101,,,0,0,0
yaw2100_pitchm0100_roll+015,210.0,-10.0,15.0,0.02353417,102,,,0,0,1
yaw210_pitch+005_roll+015,210.0,5.0,15.0,0.02318248,103,,,0,0,1
yaw210_pitch+010_roll+015,210.0,10.0,15.0,0.02239744,104,,,0,0,1
yaw2100_pitchm0100_roll+030,210.0,-10.0,30.0,0.02227095,105,,,0,0,1
yaw210_pitch-010_roll+000,210.0,-10.0,0.0,0.02108413,106,,,0,0,1
yaw210_pitch+010_roll+000,210.0,10.0,0.0,0.02100427,107,,,0,0,1
yaw2050_pitchm0100_roll+015,205.0,-10.0,15.0,0.02095003,108,,,0,0,1
yaw210_pitch-005_roll+000,210.0,-5.0,0.0,0.02091657,109,,,0,0,1
yaw2050_pitchm0050_roll+015,205.0,-5.0,15.0,0.02088916,110,,,0,0,1
yaw2100_pitchm0050_roll+030,210.0,-5.0,30.0,0.02076911,111,,,0,0,1
yaw210_pitch+000_roll+000,210.0,0.0,0.0,0.02076138,112,,,0,0,1
yaw210_pitch+005_roll+000,210.0,5.0,0.0,0.02071600,113,,,0,0,1
yaw190_pitch-010_roll+030,190.0,-10.0,30.0,0.02059212,114,,,0,0,1
yaw205_pitch+005_roll+015,205.0,5.0,15.0,0.02036964,115,,,0,0,1
yaw235_pitch+035_roll+060,235.0,35.0,60.0,0.02002093,116,,,0,0,1
yaw230_pitch+025_roll+060,230.0,25.0,60.0,0.01958523,117,,,0,0,1
yaw230_pitch+030_roll+060,230.0,30.0,60.0,0.01955692,118,,,0,0,1
yaw230_pitch+035_roll+060,230.0,35.0,60.0,0.01917412,119,,,0,0,1
yaw2100_pitchm0100_roll+060,210.0,-10.0,60.0,0.01488927,120,,,0,0,1
yaw2100_pitchm0050_roll+060,210.0,-5.0,60.0,0.01445543,121,,,0,0,1
yaw060_pitch+080_roll+060,60.0,80.0,60.0,0.01360392,122,,,0,0,0
yaw065_pitch+075_roll+060,65.0,75.0,60.0,0.01358642,123,,,0,0,0
yaw2050_pitchm0100_roll+060,205.0,-10.0,60.0,0.01356113,124,,,0,0,1
yaw060_pitch+075_roll+060,60.0,75.0,60.0,0.01352417,125,,,0,0,0
yaw075_pitch+060_roll-045,75.0,60.0,-45.0,0.01339516,126,,,0,0,0
yaw2050_pitchm0050_roll+060,205.0,-5.0,60.0,0.01310519,127,,,0,0,1
yaw0650_pitchp0625_roll+060,65.0,62.5,60.0,0.01277641,128,,,0,0,0
yaw0650_pitchp0600_roll+060,65.0,60.0,60.0,0.01277507,129,,,0,0,0
yaw0625_pitchp0600_roll+060,62.5,60.0,60.0,0.01265639,130,,,0,0,0
yaw0625_pitchp0625_roll+060,62.5,62.5,60.0,0.01253981,131,,,0,0,0
yaw195_pitch+005_roll+060,195.0,5.0,60.0,0.01198183,132,,,0,0,1
yaw190_pitch+010_roll+060,190.0,10.0,60.0,0.01197166,133,,,0,0,1
yaw200_pitch+010_roll+060,200.0,10.0,60.0,0.01191062,134,,,0,0,1
yaw280_pitch-085_roll+000,280.0,-85.0,0.0,0.01188527,135,,,0,0,1
yaw280_pitch-080_roll+000,280.0,-80.0,0.0,0.01180178,136,,,0,0,1
yaw195_pitch+010_roll+060,195.0,10.0,60.0,0.01175905,137,,,0,0,1
yaw285_pitch-080_roll+000,285.0,-80.0,0.0,0.01143705,138,,,0,0,1
yaw285_pitch-085_roll+000,285.0,-85.0,0.0,0.01139125,139,,,0,0,1
yaw290_pitch-080_roll+000,290.0,-80.0,0.0,0.01132902,140,,,0,0,1
yaw290_pitch-075_roll+000,290.0,-75.0,0.0,0.01130033,141,,,0,0,1
yaw285_pitch-090_roll+000,285.0,-90.0,0.0,0.01123913,142,,,0,0,1
yaw290_pitch-060_roll+000,290.0,-60.0,0.0,0.01122717,143,,,0,0,1
yaw280_pitch-070_roll+000,280.0,-70.0,0.0,0.01118219,144,,,0,0,1
