pose_label,yaw,pitch,roll,ocs_total,ocs_rank,dominant_part,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct,weighted_metal_NH,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal,glint_flag,saturation_flag,src_pkg
yaw295_pitch-085_roll+045,295.0,-85.0,45.0,0.02933454,94,taiyangnengban,0.00715820,0.00001049,0.02216585,24.402,0.036,75.562,0.86581,6.215,11.761,2.494,1.99929e-02,0,0,P2
yaw2800_pitchm0800_roll+060,280.0,-80.0,60.0,0.02740198,95,taiyangnengban,0.00717730,0.00003542,0.02018926,26.193,0.129,73.678,0.84000,4.434,8.793,0.523,1.92970e-02,0,0,P3
yaw1600_pitchp0250_roll+015,160.0,25.0,15.0,0.02485918,96,jinshuzhuti,0.02283293,0.00068688,0.00133937,91.849,2.763,5.388,0.94532,16.415,31.005,0.000,2.67281e-02,0,0,P3
yaw2100_pitchm0050_roll+015,210.0,-5.0,15.0,0.02404943,97,jinshuzhuti,0.01871292,0.00480790,0.00052861,77.810,19.992,2.198,0.90717,19.657,38.765,0.912,1.13183e-02,1,0,P3
yaw1600_pitchp0250_roll+030,160.0,25.0,30.0,0.02392282,98,jinshuzhuti,0.02215002,0.00064826,0.00112454,92.590,2.710,4.701,0.94604,16.549,31.425,0.211,2.82682e-02,0,0,P3
yaw1600_pitchp0250_roll+045,160.0,25.0,45.0,0.02383017,99,jinshuzhuti,0.02204656,0.00056766,0.00121595,92.515,2.382,5.103,0.94645,16.059,30.581,0.643,2.97794e-02,0,0,P3
yaw210_pitch+000_roll+015,210.0,0.0,15.0,0.02362855,100,jinshuzhuti,0.01860093,0.00460432,0.00042330,78.722,19.486,1.791,0.90165,20.069,39.566,1.366,1.27151e-02,1,0,P2
yaw1600_pitchp0250_roll+060,160.0,25.0,60.0,0.02358512,101,jinshuzhuti,0.02192103,0.00038683,0.00127726,92.944,1.640,5.416,0.94738,15.726,29.958,0.268,2.98896e-02,0,0,P3
yaw2100_pitchm0100_roll+015,210.0,-10.0,15.0,0.02353417,102,jinshuzhuti,0.01788337,0.00507769,0.00057311,75.989,21.576,2.435,0.90793,20.169,39.828,0.319,7.06206e-03,1,0,P3
yaw210_pitch+005_roll+015,210.0,5.0,15.0,0.02318248,103,jinshuzhuti,0.01845040,0.00430153,0.00043055,79.588,18.555,1.857,0.89893,20.362,40.090,1.452,1.47024e-02,1,0,P2
yaw210_pitch+010_roll+015,210.0,10.0,15.0,0.02239744,104,jinshuzhuti,0.01791479,0.00405547,0.00042718,79.986,18.107,1.907,0.89220,21.087,41.489,1.345,1.41243e-02,1,0,P2
yaw2100_pitchm0100_roll+030,210.0,-10.0,30.0,0.02227095,105,jinshuzhuti,0.01687162,0.00491698,0.00048236,75.756,22.078,2.166,0.90136,21.170,38.020,0.886,9.37284e-03,1,0,P3
yaw210_pitch-010_roll+000,210.0,-10.0,0.0,0.02108413,106,jinshuzhuti,0.01622497,0.00388319,0.00097597,76.953,18.418,4.629,0.82444,23.881,47.700,0.000,7.77901e-04,0,0,01
yaw210_pitch+010_roll+000,210.0,10.0,0.0,0.02100427,107,jinshuzhuti,0.01652063,0.00388477,0.00059888,78.654,18.495,2.851,0.85000,24.005,47.784,0.183,4.01982e-03,1,0,01
yaw2050_pitchm0100_roll+015,205.0,-10.0,15.0,0.02095003,108,jinshuzhuti,0.01637601,0.00411908,0.00045494,78.167,19.661,2.172,0.87243,22.794,45.029,0.382,5.99566e-03,1,0,P3
yaw210_pitch-005_roll+000,210.0,-5.0,0.0,0.02091657,109,jinshuzhuti,0.01620082,0.00390150,0.00081425,77.454,18.653,3.893,0.82711,24.348,48.613,0.031,8.42643e-04,0,0,01
yaw2050_pitchm0050_roll+015,205.0,-5.0,15.0,0.02088916,110,jinshuzhuti,0.01654063,0.00389624,0.00045229,79.183,18.652,2.165,0.86523,22.241,43.884,0.520,8.20437e-03,1,0,P3
yaw2100_pitchm0050_roll+030,210.0,-5.0,30.0,0.02076911,111,jinshuzhuti,0.01579710,0.00450467,0.00046734,76.061,21.689,2.250,0.88574,23.629,42.626,0.633,7.68024e-03,1,0,P3
yaw210_pitch+000_roll+000,210.0,0.0,0.0,0.02076138,112,jinshuzhuti,0.01609015,0.00390120,0.00077003,77.500,18.791,3.709,0.83266,24.540,48.951,0.000,8.93336e-04,0,0,01
yaw210_pitch+005_roll+000,210.0,5.0,0.0,0.02071600,113,jinshuzhuti,0.01616918,0.00387885,0.00066797,78.052,18.724,3.224,0.83730,24.723,49.293,0.000,1.95938e-03,0,0,01
yaw190_pitch-010_roll+030,190.0,-10.0,30.0,0.02059212,114,jinshuzhuti,0.01758797,0.00252572,0.00047843,85.411,12.265,2.323,0.76381,4.304,7.565,0.976,1.02052e-02,1,0,P2
yaw205_pitch+005_roll+015,205.0,5.0,15.0,0.02036964,115,jinshuzhuti,0.01651389,0.00345708,0.00039867,81.071,16.972,1.957,0.85034,21.109,41.470,1.247,1.10423e-02,1,0,P2
yaw235_pitch+035_roll+060,235.0,35.0,60.0,0.02002093,116,taiyangnengban,0.00847166,0.00173687,0.00981240,42.314,8.675,49.011,0.68798,26.728,49.047,0.098,1.67087e-03,0,0,P2
