region,category,yaw,pitch,roll,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R3_low_info,low-info/ocs-hard,60,60,15,20_pack,2.964026e-02,70,46,0.656318,1.173821,1.917099,6129,5197,3.561158e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,60,30,20_pack,2.353338e-02,74,50,0.896125,0.740165,1.917099,5845,5655,2.598446e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,60,45,20_pack,1.701358e-02,97,73,1.344206,0.687780,1.917099,6146,5857,1.813771e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,60,60,20_pack,1.348280e-02,102,78,0.921699,0.418724,1.917099,6161,2354,3.576312e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,65,-60,20_pack,1.373716e-02,125,106,0.860696,0.408192,1.986205,3938,3824,2.243061e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,65,-45,20_pack,1.820527e-02,88,69,1.246619,0.698195,1.986205,4919,4845,2.346202e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,65,-30,20_pack,2.321380e-02,58,39,0.590473,2.349489,1.986205,5739,3025,4.791624e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,65,-15,20_pack,3.837742e-02,29,10,0.611112,1.478875,1.986205,6236,3961,6.049686e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,65,0,01_fullrun,6.779129e-02,19,0,0.556376,1.223739,1.986205,6388,4675,9.054286e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,65,15,20_pack,3.065191e-02,68,49,0.623206,1.171307,1.986205,6146,5130,3.730801e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,65,30,20_pack,2.373804e-02,73,54,0.882661,0.798618,1.986205,5733,5563,2.664389e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,65,45,20_pack,1.732181e-02,94,75,1.308420,0.725736,1.986205,6102,5806,1.862852e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,65,60,20_pack,1.340435e-02,104,85,0.784771,0.457551,1.986205,6144,2244,3.729794e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,70,-60,20_pack,1.387607e-02,124,107,0.803805,0.379762,2.009055,3837,3731,2.322219e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,70,-45,20_pack,1.773201e-02,89,72,1.209651,0.679192,2.009055,4804,4724,2.343744e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,70,-30,20_pack,2.312613e-02,61,44,0.559960,1.990666,2.009055,5653,2889,4.998242e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,70,-15,20_pack,3.592834e-02,31,14,0.541819,1.204099,2.009055,6175,3816,5.878827e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,70,0,01_fullrun,6.797072e-02,17,0,0.499788,0.936775,2.009055,6361,4578,9.270603e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,70,15,20_pack,3.128576e-02,67,50,0.550084,1.178351,2.009055,6138,5043,3.873643e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,70,30,20_pack,2.347094e-02,75,58,0.888278,0.884851,2.009055,5591,5373,2.727568e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,70,45,20_pack,1.737635e-02,93,76,1.268167,0.712734,2.009055,6055,5751,1.886589e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,70,60,20_pack,1.345386e-02,103,86,0.696465,0.452007,2.009055,6126,2133,3.938383e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,75,-60,20_pack,1.437567e-02,121,105,0.761805,0.349525,2.031330,3766,3634,2.470046e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,75,-45,20_pack,1.760265e-02,90,74,1.269143,0.660237,2.031330,4683,4594,2.392484e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,75,-30,20_pack,2.257140e-02,66,50,0.492058,1.672859,2.031330,5565,2705,5.210186e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,75,-15,20_pack,3.412113e-02,33,17,0.488243,1.185597,2.031330,6121,3696,5.764391e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,75,0,01_fullrun,6.868044e-02,16,0,0.490113,0.911990,2.031330,6320,4478,9.576590e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,75,15,20_pack,3.214295e-02,65,49,0.513489,1.166056,2.031330,6118,4947,4.057007e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,75,30,20_pack,2.343776e-02,76,60,0.748870,0.994645,2.031330,5654,5267,2.778527e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,75,45,20_pack,1.791891e-02,92,76,1.212118,0.724601,2.031330,6001,5675,1.971550e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,75,60,20_pack,1.352417e-02,101,85,0.659373,0.455685,2.031330,6085,2045,4.129328e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,80,-60,20_pack,1.438835e-02,120,105,0.599642,0.295683,2.040533,3678,3537,2.540024e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,80,-45,20_pack,1.712125e-02,93,78,1.165840,0.615898,2.040533,4568,4467,2.393213e-02,1,1,0
R3_low_info,low-info/ocs-hard,60,80,-30,20_pack,2.189414e-02,70,55,0.424740,1.399837,2.040533,5477,2552,5.356846e-02,1,0,0
R3_low_info,low-info/ocs-hard,60,80,-15,20_pack,3.246723e-02,34,19,0.429329,1.200764,2.040533,6058,3543,5.721845e-02,1,0,0
