record_id,yaw,pitch,ocs_total_phase63,n_pix_contrib,ocs_g1_err,ocs_g5_err,gain_g1_to_g5,hardcase_labels,neural_entropy,neural_margin,pdb_nearest_distance,pdb_cand_yaw_spread,roll_err_mean15,roll_err_mean30,roll_sensitivity_30_minus_15,local_contrast,glint_flag
yaw005_pitch+035,5.0,35.0,0.014900197947532307,5575,,,,,,,,,118.1845,101.604,-16.5805,0.0014303399327390831,0
yaw005_pitch+040,5.0,40.0,0.014529461576835712,5593,,,,,,,,,121.199,102.3545,-18.844499999999996,0.0015338898885396829,0
yaw005_pitch+045,5.0,45.0,0.014856837132849743,5543,,,,,,,,,119.675,107.07549999999999,-12.599500000000006,0.0015975343503052929,0
yaw005_pitch+050,5.0,50.0,0.014873683176528513,5429,,,,,,,,,120.5085,112.316,-8.192499999999995,0.0018511795983369196,0
yaw005_pitch+055,5.0,55.0,0.015877536072368692,5446,97.94,12.738,85.202,robust-easy,4.917316,0.000116,1e-06,51.0,112.94999999999999,113.082,0.132000000000005,0.002131165499636486,0
yaw005_pitch+060,5.0,60.0,0.016222729065745733,5504,,,,,,,,,114.885,63.1435,-51.7415,0.0021206324457612863,0
yaw005_pitch+065,5.0,65.0,0.016247863113651173,5440,,,,,,,,,114.53899999999999,55.662,-58.87699999999999,0.002055364259741406,0
yaw005_pitch+070,5.0,70.0,0.016067045816072628,5302,,,,,,,,,117.501,57.899,-59.602000000000004,0.001971147787484598,0
yaw005_pitch+075,5.0,75.0,0.015400100353140517,5204,,,,,,,,,117.797,60.031,-57.766,0.001754593282826504,0
yaw005_pitch+080,5.0,80.0,0.015230431478172046,5285,,,,,,,,,126.7525,56.518,-70.2345,0.0016609892681145912,0
yaw005_pitch+085,5.0,85.0,0.014677460430433109,5311,,,,,,,,,126.93,61.22,-65.71000000000001,0.0017355484681605762,0
yaw005_pitch+090,5.0,90.0,0.015178049531953952,5340,78.787,11.203,67.584,,4.917314,1.3e-05,1e-06,0.0,132.4075,68.22999999999999,-64.17750000000001,0.0019132650648802374,0
yaw010_pitch-090,10.0,-90.0,0.0187909852196598,5589,,,,,,,,,146.12,56.0535,-90.0665,0.0013560682713330274,0
yaw010_pitch-085,10.0,-85.0,0.018207189834219817,5611,,,,,,,,,147.4235,60.6875,-86.73599999999999,0.0013240216576732543,0
yaw010_pitch-080,10.0,-80.0,0.0180358787540795,5634,159.337,1.455,157.882,disagreement-hard,4.917319,0.000349,1.1e-05,68.3758,148.4855,77.4435,-71.042,0.0013964188958323805,0
yaw010_pitch-075,10.0,-75.0,0.01754817436501188,5640,,,,,,,,,144.4445,106.993,-37.45150000000001,0.00142885076789296,0
yaw010_pitch-070,10.0,-70.0,0.01717914740282378,5677,,,,,,,,,131.535,117.5475,-13.987499999999997,0.0014235803462165318,0
yaw010_pitch-065,10.0,-65.0,0.016686385657203873,5671,,,,,,,,,119.375,106.053,-13.322000000000003,0.0014391050806559363,0
yaw010_pitch-060,10.0,-60.0,0.016822251253839626,5753,,,,,,,,,117.5275,88.714,-28.813500000000005,0.0014706596437035792,0
yaw010_pitch-055,10.0,-55.0,0.01672082553441645,5750,,,,,,,,,114.579,73.90700000000001,-40.67199999999998,0.0015119654108984928,0
yaw010_pitch-050,10.0,-50.0,0.01653993370222817,5704,,,,,,,,,112.45750000000001,69.268,-43.18950000000001,0.0015108130264098775,0
yaw010_pitch-045,10.0,-45.0,0.016617720953455983,5734,125.72,17.602,108.118,,4.917303,5e-05,4e-06,0.0,110.549,71.2885,-39.26050000000001,0.0015756682173790997,0
yaw010_pitch-040,10.0,-40.0,0.016932749423709953,5677,134.938,20.238,114.7,,4.917301,0.000436,2e-06,0.0,104.6505,77.969,-26.6815,0.0016760412881746366,0
yaw010_pitch-035,10.0,-35.0,0.01754369740091244,5660,,,,,,,,,108.9605,97.85650000000001,-11.103999999999985,0.0018471524383884344,0
yaw010_pitch-030,10.0,-30.0,0.018310910242119727,5622,,,,,,,,,116.6845,116.087,-0.5974999999999966,0.0018131481609852049,0
yaw010_pitch-025,10.0,-25.0,0.01899030665051399,5493,,,,,,,,,123.91749999999999,104.742,-19.175499999999985,0.0015896460531968082,0
yaw010_pitch-020,10.0,-20.0,0.01919193621051224,5344,,,,,,,,,126.061,79.9505,-46.1105,0.0011855164972558903,0
yaw010_pitch-015,10.0,-15.0,0.01898028113456532,5296,,,,,,,,,126.37549999999999,71.803,-54.57249999999999,0.0010969643406414514,0
yaw010_pitch-010,10.0,-10.0,0.017999652489990997,5467,158.74,25.098,133.643,ocs-hard,4.917318,5.7e-05,1e-06,28.5,127.91499999999999,72.34649999999999,-55.5685,0.001115897200657922,0
yaw010_pitch-005,10.0,-5.0,0.0174004223309418,5490,,,,,,,,,126.178,96.2565,-29.921499999999995,0.0012705459771512537,0
yaw010_pitch+000,10.0,0.0,0.01685332241106799,5496,,,,,,,,,122.739,114.155,-8.584000000000003,0.0013461155182697623,0
yaw010_pitch+005,10.0,5.0,0.01638776213236451,5472,,,,,,,,,121.6445,112.1225,-9.521999999999991,0.001375503690119722,0
yaw010_pitch+010,10.0,10.0,0.016241762272562604,5470,,,,,,,,,119.32749999999999,102.3715,-16.95599999999999,0.0013316500000568054,0
yaw010_pitch+015,10.0,15.0,0.01643737285735511,5497,,,,,,,,,117.0175,86.255,-30.762500000000003,0.0013872670232601032,0
yaw010_pitch+020,10.0,20.0,0.016365327214834524,5445,,,,,,,,,114.3105,79.4615,-34.849000000000004,0.001443464286181393,0
yaw010_pitch+025,10.0,25.0,0.016391199277564217,5486,,,,,,,,,112.59049999999999,78.0625,-34.52799999999999,0.001501380579907105,0
yaw010_pitch+030,10.0,30.0,0.016702876134137845,5513,,,,,,,,,110.329,78.529,-31.799999999999997,0.001523546836825363,0
yaw010_pitch+035,10.0,35.0,0.016654333331260485,5500,,,,,,,,,107.86699999999999,79.619,-28.24799999999999,0.0015883557491332134,0
yaw010_pitch+040,10.0,40.0,0.016746703706540383,5473,,,,,,,,,101.301,88.1905,-13.110500000000002,0.0016957179669398886,0
yaw010_pitch+045,10.0,45.0,0.016737814537920448,5507,,,,,,,,,90.49000000000001,91.3835,0.8934999999999889,0.0018586029705437018,0
yaw010_pitch+050,10.0,50.0,0.017310346644138636,5408,,,,,,,,,84.082,101.773,17.691000000000003,0.0019022148813295503,0
yaw010_pitch+055,10.0,55.0,0.018277870638067073,5317,,,,,,,,,81.232,116.57499999999999,35.34299999999999,0.0019046261065014218,0
yaw010_pitch+060,10.0,60.0,0.01927462075216324,5474,,,,,,,,,83.1695,72.428,-10.741500000000002,0.0017604366129478355,0
yaw010_pitch+065,10.0,65.0,0.01892212336703225,5427,,,,,,,,,80.499,58.085,-22.413999999999994,0.0017206624708890166,0
yaw010_pitch+070,10.0,70.0,0.018285937482222236,5366,,,,,,,,,81.6305,98.3335,16.703000000000003,0.001705899425176547,0
yaw010_pitch+075,10.0,75.0,0.017808395459534276,5354,,,,,,,,,83.092,100.5555,17.463499999999996,0.0017134251297368577,0
yaw010_pitch+080,10.0,80.0,0.016897872113869755,5340,133.953,21.811,112.142,,4.917309,0.000337,0.0,68.0,87.877,62.634,-25.242999999999995,0.0017049906527832719,0
yaw010_pitch+085,10.0,85.0,0.016827482117188347,5370,,,,,,,,,95.0135,62.784000000000006,-32.22949999999999,0.0017220198255544009,0
yaw010_pitch+090,10.0,90.0,0.0181292779513495,5447,,,,,,,,,101.81049999999999,107.86949999999999,6.0589999999999975,0.0019289596099325568,0
yaw015_pitch-090,15.0,-90.0,0.01936354909472804,5477,,,,,,,,,99.019,63.4915,-35.5275,0.0012989219751104175,0
yaw015_pitch-085,15.0,-85.0,0.019930786799897404,5543,,,,,,,,,98.50200000000001,69.801,-28.701000000000008,0.0012625464890675918,0
yaw015_pitch-080,15.0,-80.0,0.019932633058836885,5554,,,,,,,,,102.773,98.7975,-3.9754999999999967,0.001411582106867603,0
yaw015_pitch-075,15.0,-75.0,0.01955150583041604,5546,,,,,,,,,103.158,109.417,6.259,0.0014963253616427988,0
yaw015_pitch-070,15.0,-70.0,0.019137213144421183,5594,,,,,,,,,101.899,107.9295,6.0305000000000035,0.001597996220509875,0
yaw015_pitch-065,15.0,-65.0,0.018682423727763714,5603,,,,,,,,,103.4345,94.006,-9.4285,0.0015872183326604873,0
yaw015_pitch-060,15.0,-60.0,0.018945479581213703,5639,,,,,,,,,99.831,79.134,-20.697000000000003,0.0015734060614266965,0
yaw015_pitch-055,15.0,-55.0,0.018800176192355217,5608,175.116,7.382,167.734,robust-easy,4.917319,5.7e-05,2.5e-05,3.5,101.8205,65.36500000000001,-36.45549999999999,0.0015251997334371319,0
yaw015_pitch-050,15.0,-50.0,0.018699585016185294,5590,,,,,,,,,96.0375,62.7275,-33.309999999999995,0.0015433238623910155,0
yaw015_pitch-045,15.0,-45.0,0.018707414815843926,5527,,,,,,,,,98.5145,68.269,-30.245499999999993,0.0016062515394773581,0
yaw015_pitch-040,15.0,-40.0,0.01918402821060733,5541,,,,,,,,,97.02250000000001,77.029,-19.99350000000001,0.0017005231582449022,0
yaw015_pitch-035,15.0,-35.0,0.01970058971243055,5445,,,,,,,,,115.815,102.8935,-12.921499999999995,0.0017861673959357165,0
yaw015_pitch-030,15.0,-30.0,0.020798274350652957,5375,162.364,5.624,156.74,,4.917319,0.000295,0.0,0.0,129.31150000000002,122.17500000000001,-7.136500000000012,0.0017100628246165955,0
yaw015_pitch-025,15.0,-25.0,0.02092409610315732,5224,,,,,,,,,156.422,119.91900000000001,-36.502999999999986,0.0014697849311831948,0
yaw015_pitch-020,15.0,-20.0,0.0201671983631857,5105,169.711,0.652,169.059,disagreement-hard,4.917318,7.6e-05,1e-06,0.0,163.7885,110.55250000000001,-53.23599999999999,0.001244951739124648,0
yaw015_pitch-015,15.0,-15.0,0.02008628310210675,5284,,,,,,,,,162.7655,110.9075,-51.858000000000004,0.0010611286195797744,0
yaw015_pitch-010,15.0,-10.0,0.0195028518365635,5334,,,,,,,,,159.79149999999998,99.73400000000001,-60.057499999999976,0.0011573485241706157,0
yaw015_pitch-005,15.0,-5.0,0.01880276779739204,5386,,,,,,,,,143.0485,117.1825,-25.865999999999985,0.0011589585022878449,0
yaw015_pitch+000,15.0,0.0,0.018714391744066583,5414,,,,,,,,,136.279,120.77950000000001,-15.499499999999983,0.0012762500130839016,0
yaw015_pitch+005,15.0,5.0,0.018199358812682337,5396,,,,,,,,,122.77100000000002,105.7405,-17.030500000000018,0.0014419004339906796,0
yaw015_pitch+010,15.0,10.0,0.018068400281500557,5393,164.85,9.704,155.146,robust-easy,4.917319,0.000376,1.7e-05,3.1623,118.27350000000001,86.64699999999999,-31.62650000000002,0.0015983717955208102,0
yaw015_pitch+015,15.0,15.0,0.018575473894068273,5430,,,,,,,,,110.7005,73.71549999999999,-36.985000000000014,0.001668468083074106,0
yaw015_pitch+020,15.0,20.0,0.018629163250653835,5422,172.957,0.608,172.349,robust-easy,4.917317,0.000887,5.4e-05,88.0341,99.32,67.0335,-32.28649999999999,0.0016868552214500433,0
yaw015_pitch+025,15.0,25.0,0.018532238932907064,5377,,,,,,,,,96.489,65.609,-30.88000000000001,0.001787443648392558,0
yaw015_pitch+030,15.0,30.0,0.018807436596470634,5410,,,,,,,,,89.71600000000001,66.12,-23.596000000000004,0.0018919402548307242,0
yaw015_pitch+035,15.0,35.0,0.01889087137173437,5408,,,,,,,,,83.3735,68.0815,-15.292000000000002,0.0019786886127956538,0
yaw015_pitch+040,15.0,40.0,0.019196344749396188,5373,,,,,,,,,77.092,70.9285,-6.163499999999999,0.0021068184944440793,0
yaw015_pitch+045,15.0,45.0,0.01966376472770648,5411,,,,,,,,,71.5,76.8205,5.320499999999996,0.002031844466529164,0
yaw015_pitch+050,15.0,50.0,0.019687274898622792,5325,174.762,3.553,171.209,,4.917317,0.000512,1e-06,0.0,68.637,86.1255,17.488500000000002,0.001818879536457079,0
yaw015_pitch+055,15.0,55.0,0.019934679705907454,5231,,,,,,,,,69.1015,104.307,35.2055,0.0016592121980648841,0
yaw015_pitch+060,15.0,60.0,0.02062472845409946,5339,,,,,,,,,69.9325,157.369,87.4365,0.0014978572922486055,0
yaw015_pitch+065,15.0,65.0,0.02052296549611421,5360,,,,,,,,,70.2175,100.75300000000001,30.535500000000013,0.001479130777022608,0
yaw015_pitch+070,15.0,70.0,0.020166560542426992,5330,,,,,,,,,67.92949999999999,82.1825,14.253000000000014,0.001679322643821212,0
yaw015_pitch+075,15.0,75.0,0.01955895073823752,5385,,,,,,,,,67.385,87.2885,19.903499999999994,0.0017523008853726103,0
yaw015_pitch+080,15.0,80.0,0.01929140203626306,5375,,,,,,,,,69.5895,108.61,39.0205,0.0017377907685816978,0
yaw015_pitch+085,15.0,85.0,0.019116651367165338,5371,178.905,8.909,169.996,,4.917317,0.000687,0.0,1.5,75.1235,155.3395,80.21599999999998,0.0015037053571504734,0
yaw015_pitch+090,15.0,90.0,0.019081860810723356,5402,,,,,,,,,78.567,98.57549999999999,20.008499999999998,0.0014902014881379433,0
yaw020_pitch-090,20.0,-90.0,0.021211684840119482,5447,,,,,,,,,94.6045,84.7475,-9.857,0.0014407916400299703,0
yaw020_pitch-085,20.0,-85.0,0.021713862384142857,5467,,,,,,,,,102.528,149.59699999999998,47.068999999999974,0.0012034267974113562,0
yaw020_pitch-080,20.0,-80.0,0.021639794532128664,5467,,,,,,,,,104.3895,112.815,8.4255,0.0009658779703851893,0
yaw020_pitch-075,20.0,-75.0,0.021347269404620173,5469,,,,,,,,,106.42,110.369,3.948999999999998,0.0009775591321730358,0
yaw020_pitch-070,20.0,-70.0,0.02095131956389301,5422,,,,,,,,,103.8965,86.673,-17.2235,0.001124465931549943,0
yaw020_pitch-065,20.0,-65.0,0.021030006117953026,5400,,,,,,,,,102.4915,81.18,-21.311499999999995,0.0011956435818838082,0
yaw020_pitch-060,20.0,-60.0,0.02068636002319768,5380,158.917,3.186,155.731,disagreement-hard;robust-easy,4.917317,0.000335,6.3e-05,51.6454,104.30850000000001,66.6375,-37.67100000000001,0.001272470589071869,0
yaw020_pitch-055,20.0,-55.0,0.020691985553414338,5360,,,,,,,,,105.642,60.771499999999996,-44.8705,0.0012226819279740134,0
