geom,record_id,yaw_true,pitch_true,image_hit,ocs_hit,joint_hit,pdb_hit,label
G1,G1_yaw280_pitch+055,280.0,55.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw280_pitch+065,280.0,65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw280_pitch+080,280.0,80.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw280_pitch-080,280.0,-80.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw295_pitch+000,295.0,0.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw295_pitch+080,295.0,80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw295_pitch+090,295.0,90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw300_pitch-025,300.0,-25.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw305_pitch+010,305.0,10.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw305_pitch+015,305.0,15.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw305_pitch+025,305.0,25.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw305_pitch+065,305.0,65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw310_pitch+005,310.0,5.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw310_pitch+060,310.0,60.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw310_pitch+070,310.0,70.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw310_pitch-020,310.0,-20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw315_pitch+040,315.0,40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw315_pitch-015,315.0,-15.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw315_pitch-020,315.0,-20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw315_pitch-035,315.0,-35.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw320_pitch+005,320.0,5.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw320_pitch+020,320.0,20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw320_pitch+075,320.0,75.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw320_pitch-020,320.0,-20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw320_pitch-055,320.0,-55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw320_pitch-065,320.0,-65.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw325_pitch+010,325.0,10.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw325_pitch+055,325.0,55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw325_pitch+090,325.0,90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw325_pitch-050,325.0,-50.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw325_pitch-085,325.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw325_pitch-090,325.0,-90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch+040,330.0,40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch+055,330.0,55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch-045,330.0,-45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch-055,330.0,-55.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch-070,330.0,-70.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch-075,330.0,-75.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw330_pitch-090,330.0,-90.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw335_pitch+025,335.0,25.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw335_pitch+040,335.0,40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw335_pitch-020,335.0,-20.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw335_pitch-050,335.0,-50.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw335_pitch-060,335.0,-60.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw335_pitch-070,335.0,-70.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw335_pitch-085,335.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw340_pitch+075,340.0,75.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw345_pitch+065,345.0,65.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw345_pitch-040,345.0,-40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw345_pitch-080,345.0,-80.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw350_pitch+070,350.0,70.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw350_pitch-040,350.0,-40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw350_pitch-045,350.0,-45.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw355_pitch+045,355.0,45.0,1,0,1,1,ocs_wrong_image_correct
G1,G1_yaw355_pitch-040,355.0,-40.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw355_pitch-045,355.0,-45.0,1,0,1,0,ocs_wrong_image_correct
G1,G1_yaw355_pitch-085,355.0,-85.0,1,0,1,0,ocs_wrong_image_correct
G3,G3_yaw060_pitch-090,60.0,-90.0,1,0,1,1,ocs_wrong_image_correct
