record_id,yaw_true,pitch_true,ocs_g1_err,ocs_g5_err,gain_g1_to_g5
G5_yaw105_pitch+075,105.0,75.0,135.91,26.478,109.432
G5_yaw340_pitch+075,340.0,75.0,110.227,53.13,57.097
G5_yaw305_pitch+010,305.0,10.0,90.352,6.617,83.735
G5_yaw240_pitch-015,240.0,-15.0,178.062,1.659,176.404
G5_yaw220_pitch-030,220.0,-30.0,123.712,13.124,110.589
G5_yaw165_pitch+060,165.0,60.0,59.316,6.424,52.892
G5_yaw040_pitch-065,40.0,-65.0,25.972,5.524,20.448
G5_yaw305_pitch+015,305.0,15.0,81.402,1.03,80.372
G5_yaw335_pitch-050,335.0,-50.0,138.673,2.586,136.087
G5_yaw330_pitch-090,330.0,-90.0,94.398,100.171,-5.773
G5_yaw275_pitch-015,275.0,-15.0,77.747,67.767,9.981
G5_yaw045_pitch-050,45.0,-50.0,36.151,1.1,35.051
G5_yaw105_pitch-085,105.0,-85.0,84.912,47.768,37.144
G5_yaw300_pitch+070,300.0,70.0,18.526,94.585,-76.06
G5_yaw290_pitch+005,290.0,5.0,9.466,47.057,-37.59
G5_yaw355_pitch+045,355.0,45.0,47.516,8.34,39.176
G5_yaw085_pitch+000,85.0,0.0,14.433,7.222,7.211
G5_yaw090_pitch+015,90.0,15.0,36.909,8.048,28.861
G5_yaw155_pitch-035,155.0,-35.0,10.759,6.875,3.883
G5_yaw000_pitch-035,0.0,-35.0,49.775,9.056,40.719
G5_yaw215_pitch-075,215.0,-75.0,62.929,2.606,60.324
G5_yaw090_pitch+085,90.0,85.0,79.9,0.343,79.557
G5_yaw285_pitch-035,285.0,-35.0,16.841,12.598,4.243
G5_yaw135_pitch-010,135.0,-10.0,23.27,24.796,-1.526
G5_yaw140_pitch-015,140.0,-15.0,8.014,17.66,-9.647
G5_yaw270_pitch+000,270.0,0.0,58.566,30.886,27.679
G5_yaw245_pitch+065,245.0,65.0,11.309,1.847,9.462
G5_yaw270_pitch-050,270.0,-50.0,33.227,23.98,9.248
G5_yaw180_pitch-090,180.0,-90.0,72.554,17.789,54.765
G5_yaw085_pitch-025,85.0,-25.0,2.117,1.956,0.161
G5_yaw355_pitch-045,355.0,-45.0,56.683,14.248,42.436
G5_yaw000_pitch+045,0.0,45.0,46.385,9.485,36.9
G5_yaw050_pitch-055,50.0,-55.0,8.362,6.689,1.673
G5_yaw120_pitch+070,120.0,70.0,164.452,50.572,113.88
G5_yaw210_pitch+080,210.0,80.0,27.029,25.213,1.816
G5_yaw050_pitch-005,50.0,-5.0,9.145,21.869,-12.724
G5_yaw070_pitch-085,70.0,-85.0,52.696,28.864,23.832
G5_yaw170_pitch-065,170.0,-65.0,25.81,10.761,15.049
G5_yaw200_pitch+000,200.0,0.0,13.584,10.841,2.742
G5_yaw180_pitch-040,180.0,-40.0,98.044,11.969,86.075
G5_yaw150_pitch+010,150.0,10.0,67.716,10.777,56.939
G5_yaw330_pitch+055,330.0,55.0,129.082,7.12,121.963
G5_yaw150_pitch+085,150.0,85.0,82.288,0.825,81.463
G5_yaw100_pitch+045,100.0,45.0,88.116,14.051,74.064
G5_yaw090_pitch+025,90.0,25.0,19.509,17.575,1.935
G5_yaw065_pitch+070,65.0,70.0,6.386,164.664,-158.277
G5_yaw180_pitch+090,180.0,90.0,104.053,51.59,52.464
G5_yaw065_pitch-090,65.0,-90.0,8.926,57.206,-48.28
G5_yaw280_pitch+065,280.0,65.0,72.129,66.594,5.535
G5_yaw280_pitch+080,280.0,80.0,82.529,44.993,37.536
G5_yaw040_pitch+090,40.0,90.0,26.456,24.027,2.429
G5_yaw035_pitch+080,35.0,80.0,37.677,24.395,13.282
G5_yaw005_pitch+090,5.0,90.0,78.787,11.203,67.584
G5_yaw345_pitch-040,345.0,-40.0,124.06,22.054,102.006
G5_yaw035_pitch+025,35.0,25.0,34.152,1.957,32.195
G5_yaw115_pitch+015,115.0,15.0,88.333,20.76,67.573
G5_yaw115_pitch-025,115.0,-25.0,173.481,44.166,129.314
G5_yaw220_pitch+065,220.0,65.0,143.342,12.183,131.159
G5_yaw330_pitch+040,330.0,40.0,138.59,8.131,130.459
G5_yaw170_pitch+050,170.0,50.0,77.599,28.486,49.112
G5_yaw170_pitch+000,170.0,0.0,18.703,21.948,-3.245
G5_yaw045_pitch-005,45.0,-5.0,26.929,0.724,26.205
G5_yaw140_pitch+020,140.0,20.0,86.938,5.96,80.978
G5_yaw190_pitch-065,190.0,-65.0,21.495,8.034,13.461
G5_yaw335_pitch-060,335.0,-60.0,135.711,17.358,118.353
G5_yaw315_pitch-015,315.0,-15.0,83.86,15.948,67.912
G5_yaw260_pitch-080,260.0,-80.0,66.068,12.198,53.87
G5_yaw270_pitch-030,270.0,-30.0,77.757,15.674,62.084
G5_yaw015_pitch+085,15.0,85.0,178.905,8.909,169.996
G5_yaw105_pitch-025,105.0,-25.0,134.142,8.152,125.99
G5_yaw250_pitch-010,250.0,-10.0,177.066,7.864,169.202
G5_yaw335_pitch+025,335.0,25.0,144.865,14.18,130.685
G5_yaw335_pitch+040,335.0,40.0,130.416,10.778,119.638
G5_yaw160_pitch+090,160.0,90.0,92.306,3.683,88.622
G5_yaw045_pitch-010,45.0,-10.0,26.275,15.977,10.298
G5_yaw300_pitch-025,300.0,-25.0,85.178,134.053,-48.876
G5_yaw255_pitch-015,255.0,-15.0,161.522,8.335,153.187
G5_yaw240_pitch-025,240.0,-25.0,157.545,5.69,151.855
G5_yaw115_pitch+035,115.0,35.0,168.288,91.267,77.02
G5_yaw040_pitch-075,40.0,-75.0,26.097,14.649,11.448
G5_yaw325_pitch-085,325.0,-85.0,100.581,35.825,64.756
G5_yaw270_pitch+030,270.0,30.0,81.487,20.132,61.355
G5_yaw175_pitch+010,175.0,10.0,22.524,9.951,12.573
G5_yaw115_pitch+020,115.0,20.0,101.639,27.198,74.441
G5_yaw135_pitch+030,135.0,30.0,42.876,14.813,28.063
G5_yaw025_pitch-080,25.0,-80.0,127.035,3.621,123.415
G5_yaw080_pitch+010,80.0,10.0,0.035,5.801,-5.765
G5_yaw200_pitch-045,200.0,-45.0,4.702,9.779,-5.077
G5_yaw195_pitch+050,195.0,50.0,52.586,6.023,46.564
G5_yaw195_pitch+040,195.0,40.0,45.809,29.472,16.337
G5_yaw220_pitch+030,220.0,30.0,143.993,15.674,128.32
G5_yaw270_pitch+025,270.0,25.0,77.684,19.641,58.044
G5_yaw265_pitch+040,265.0,40.0,113.131,16.664,96.467
G5_yaw330_pitch-070,330.0,-70.0,163.865,124.698,39.166
G5_yaw250_pitch-060,250.0,-60.0,174.461,9.146,165.314
G5_yaw130_pitch+085,130.0,85.0,59.837,7.788,52.049
G5_yaw210_pitch-050,210.0,-50.0,38.858,52.545,-13.687
G5_yaw210_pitch-060,210.0,-60.0,30.655,47.727,-17.072
G5_yaw280_pitch+010,280.0,10.0,9.616,4.484,5.132
G5_yaw130_pitch-010,130.0,-10.0,50.539,16.666,33.874
G5_yaw165_pitch+025,165.0,25.0,3.015,12.769,-9.754
G5_yaw330_pitch-045,330.0,-45.0,151.279,120.971,30.308
G5_yaw025_pitch-030,25.0,-30.0,92.907,5.732,87.175
G5_yaw210_pitch+040,210.0,40.0,61.43,2.984,58.446
G5_yaw280_pitch-080,280.0,-80.0,35.833,2.933,32.9
G5_yaw000_pitch+025,0.0,25.0,48.832,5.234,43.597
G5_yaw215_pitch+090,215.0,90.0,84.043,32.689,51.353
G5_yaw070_pitch-090,70.0,-90.0,50.291,160.43,-110.139
G5_yaw250_pitch+015,250.0,15.0,175.75,6.855,168.895
G5_yaw180_pitch+070,180.0,70.0,127.5,17.072,110.428
G5_yaw355_pitch-040,355.0,-40.0,58.372,10.301,48.071
G5_yaw080_pitch-050,80.0,-50.0,10.979,8.06,2.919
G5_yaw175_pitch-055,175.0,-55.0,42.749,10.478,32.271
G5_yaw245_pitch-085,245.0,-85.0,176.923,63.849,113.075
G5_yaw345_pitch+065,345.0,65.0,98.476,13.835,84.641
G5_yaw015_pitch-020,15.0,-20.0,169.711,0.652,169.059
G5_yaw295_pitch+060,295.0,60.0,7.302,12.849,-5.547
G5_yaw315_pitch-035,315.0,-35.0,117.555,7.889,109.667
G5_yaw190_pitch+045,190.0,45.0,92.652,11.292,81.36
G5_yaw310_pitch+070,310.0,70.0,115.45,74.502,40.947
G5_yaw090_pitch-040,90.0,-40.0,19.357,6.01,13.347
G5_yaw265_pitch+085,265.0,85.0,113.869,44.582,69.286
G5_yaw225_pitch-010,225.0,-10.0,158.986,10.164,148.823
G5_yaw290_pitch-060,290.0,-60.0,26.669,12.897,13.772
G5_yaw065_pitch+020,65.0,20.0,4.436,3.206,1.23
G5_yaw315_pitch+040,315.0,40.0,91.844,8.109,83.735
G5_yaw285_pitch+030,285.0,30.0,12.842,15.701,-2.858
G5_yaw155_pitch-075,155.0,-75.0,92.103,5.503,86.601
G5_yaw265_pitch-075,265.0,-75.0,34.098,1.608,32.49
G5_yaw195_pitch-025,195.0,-25.0,36.723,14.552,22.171
G5_yaw045_pitch-025,45.0,-25.0,25.397,3.662,21.736
G5_yaw210_pitch-070,210.0,-70.0,29.796,44.012,-14.216
G5_yaw110_pitch+050,110.0,50.0,172.583,76.814,95.769
G5_yaw245_pitch+050,245.0,50.0,31.099,5.881,25.219
G5_yaw015_pitch+050,15.0,50.0,174.762,3.553,171.209
G5_yaw230_pitch+015,230.0,15.0,4.414,1.989,2.425
G5_yaw300_pitch+035,300.0,35.0,11.958,107.453,-95.495
G5_yaw105_pitch-015,105.0,-15.0,124.415,4.439,119.976
G5_yaw070_pitch-045,70.0,-45.0,3.715,7.944,-4.229
G5_yaw260_pitch-005,260.0,-5.0,121.368,10.927,110.442
G5_yaw300_pitch+060,300.0,60.0,1.097,89.199,-88.102
G5_yaw015_pitch-055,15.0,-55.0,175.116,7.382,167.734
G5_yaw040_pitch+045,40.0,45.0,25.678,0.753,24.925
G5_yaw295_pitch+090,295.0,90.0,61.079,126.564,-65.485
G5_yaw115_pitch-075,115.0,-75.0,154.313,47.044,107.27
G5_yaw055_pitch-010,55.0,-10.0,1.974,5.582,-3.608
G5_yaw190_pitch+060,190.0,60.0,98.855,4.037,94.817
G5_yaw010_pitch-040,10.0,-40.0,134.938,20.238,114.7
G5_yaw210_pitch-030,210.0,-30.0,48.094,8.708,39.386
G5_yaw190_pitch-020,190.0,-20.0,57.037,11.51,45.527
G5_yaw010_pitch+080,10.0,80.0,133.953,21.811,112.142
G5_yaw065_pitch-080,65.0,-80.0,7.699,19.41,-11.711
G5_yaw270_pitch-010,270.0,-10.0,72.041,58.154,13.887
G5_yaw150_pitch+035,150.0,35.0,23.671,1.498,22.173
G5_yaw030_pitch-065,30.0,-65.0,85.582,24.277,61.305
G5_yaw325_pitch-090,325.0,-90.0,89.587,37.996,51.591
G5_yaw190_pitch-050,190.0,-50.0,37.927,16.449,21.478
G5_yaw295_pitch+080,295.0,80.0,47.171,7.022,40.149
G5_yaw220_pitch-070,220.0,-70.0,105.387,19.608,85.779
G5_yaw185_pitch-060,185.0,-60.0,56.849,5.36,51.489
G5_yaw310_pitch+060,310.0,60.0,63.795,101.259,-37.464
G5_yaw245_pitch+080,245.0,80.0,10.215,11.906,-1.692
G5_yaw045_pitch-070,45.0,-70.0,36.778,9.406,27.372
G5_yaw060_pitch-090,60.0,-90.0,6.483,34.065,-27.582
G5_yaw125_pitch+060,125.0,60.0,160.182,26.941,133.241
