geom,record_id,yaw_true,pitch_true,type,pdb_yaw_err,pdb_nearest
G1,G1_yaw195_pitch+040,195.0,40.0,pdb_near_but_wrong(ambiguous_flux),90.0,0.0
G1,G1_yaw220_pitch+030,220.0,30.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw265_pitch+040,265.0,40.0,pdb_near_but_wrong(ambiguous_flux),85.0,0.0
G1,G1_yaw330_pitch-070,330.0,-70.0,pdb_near_but_wrong(ambiguous_flux),70.0,0.0
G1,G1_yaw250_pitch-060,250.0,-60.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw130_pitch+085,130.0,85.0,pdb_near_but_wrong(ambiguous_flux),160.0,0.0
G1,G1_yaw210_pitch-060,210.0,-60.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw280_pitch+010,280.0,10.0,pdb_near_but_wrong(ambiguous_flux),105.0,0.0
G1,G1_yaw130_pitch-010,130.0,-10.0,pdb_near_but_wrong(ambiguous_flux),75.0,0.0
G1,G1_yaw165_pitch+025,165.0,25.0,pdb_near_but_wrong(ambiguous_flux),140.0,0.0
G1,G1_yaw330_pitch-045,330.0,-45.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw025_pitch-030,25.0,-30.0,pdb_near_but_wrong(ambiguous_flux),65.0,0.0
G1,G1_yaw210_pitch+040,210.0,40.0,pdb_near_but_wrong(ambiguous_flux),120.0,0.0
G1,G1_yaw000_pitch+025,0.0,25.0,pdb_near_but_wrong(ambiguous_flux),90.0,0.0
G1,G1_yaw215_pitch+090,215.0,90.0,pdb_near_but_wrong(ambiguous_flux),125.0,0.0
G1,G1_yaw180_pitch+070,180.0,70.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw355_pitch-040,355.0,-40.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw080_pitch-050,80.0,-50.0,pdb_near_but_wrong(ambiguous_flux),45.0,0.0
G1,G1_yaw175_pitch-055,175.0,-55.0,pdb_near_but_wrong(ambiguous_flux),105.0,0.0
G1,G1_yaw245_pitch-085,245.0,-85.0,pdb_near_but_wrong(ambiguous_flux),85.0,0.0
G1,G1_yaw295_pitch+060,295.0,60.0,pdb_near_but_wrong(ambiguous_flux),55.0,0.0
G1,G1_yaw315_pitch-035,315.0,-35.0,pdb_near_but_wrong(ambiguous_flux),120.0,0.0
G1,G1_yaw190_pitch+045,190.0,45.0,pdb_near_but_wrong(ambiguous_flux),160.0,0.0
G1,G1_yaw265_pitch+085,265.0,85.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
G1,G1_yaw225_pitch-010,225.0,-10.0,pdb_near_but_wrong(ambiguous_flux),150.0,0.0
G1,G1_yaw315_pitch+040,315.0,40.0,pdb_near_but_wrong(ambiguous_flux),35.0,0.0
G1,G1_yaw265_pitch-075,265.0,-75.0,pdb_near_but_wrong(ambiguous_flux),80.0,0.0
G1,G1_yaw045_pitch-025,45.0,-25.0,pdb_near_but_wrong(ambiguous_flux),175.0,0.0
G1,G1_yaw210_pitch-070,210.0,-70.0,pdb_near_but_wrong(ambiguous_flux),170.0,0.0
