key,ocs_image,ocs_module_a,ocs_module_a_no_occ,occlusion_ratio_a,rel_err,abs_err,obj_pixels,rad_max,rad_mean_obj,dt_sec,px_jinshuzhuti,px_taiyangnengban,px_yinshenban
yaw005.00_pitch+45.00,0.0035756822219152923,0.003627331688347881,0.013635892039792848,0.7339864764430193,0.01423896981864186,5.16494664325887e-05,5950,9.897732873043527,0.0037523546312640123,0.017909399999999964,5674,242,34
yaw005.00_pitch+50.00,0.0024058430422116282,0.004233673671238265,0.014716600916200506,0.7123198695578066,0.43173630538511315,0.0018278306290266367,5916,0.17584336687280597,0.0025392242208205594,0.018170599999999926,5640,244,32
yaw005.00_pitch+55.00,0.006032462417705596,0.0049639690814054895,0.01939848130916639,0.7441052728669095,0.2152497968415177,0.001068493336300107,5883,1.5432993140228457,0.006402619654055155,0.01813290000000012,5614,243,26
yaw005.00_pitch+60.00,0.02751054668127916,0.005784209569564568,0.019844839694719587,0.7085282794648293,3.7561462548028213,0.02172633711171459,5830,6.385317671826048,0.029464060172750845,0.01794960000000012,5568,243,19
yaw005.00_pitch+65.00,0.01363107999629518,0.006708239166141332,0.020862533140375922,0.678455194246826,1.0319907592286932,0.006922840830153849,5802,2.5778726026841867,0.014669471542400465,0.01726849999999991,5553,236,13
yaw005.00_pitch+70.00,0.007154329624379493,0.007542256588528559,0.02418232725979402,0.6881087371161148,0.05143380626152208,0.0003879269641490664,5760,3.502805682529209,0.007755474767038811,0.018216800000000033,5523,227,10
yaw005.00_pitch+75.00,0.013920526527569336,0.00904956566220788,0.027256764730074136,0.6679882681665843,0.5382535524001113,0.004870960865361457,5708,38.359735893866784,0.0152276758941997,0.017976500000000062,5477,228,3
yaw005.00_pitch+80.00,0.004348504387367028,0.011772687046126527,0.04166465029950691,0.7174418371089544,0.630627708837484,0.007424182658759499,5745,1.5499482286562238,0.004726196850682584,0.018203700000000156,5510,233,2
yaw005.00_pitch+85.00,0.0022877340457600343,0.013059306909807628,0.04240737756842014,0.6920510614282216,0.8248196430668208,0.010771572864047594,5807,0.18379983245823123,0.0024598897123166534,0.017775899999999956,5571,236,0
yaw005.00_pitch+90.00,0.0027861529631905448,0.010772068110168039,0.04222489389028755,0.7448882136173751,0.7413539410727805,0.007985915146977494,5872,0.6176430797075927,0.002962653328826415,0.017954100000000084,5636,235,1
