geom_id,pose_id,role,group,label,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,near_specular_metal,strong_surface_highlight,dark_panel_increment
G0_baseline,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.19713082,jinshuzhuti,94.75,4.436,2.220,3.961,81.64,7.6810e-01,0,1,1
G1_sun_plus,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.16959147,jinshuzhuti,94.01,5.078,4.397,7.499,80.85,6.3263e-01,0,1,1
G1_sun_plus,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.17182573,jinshuzhuti,98.60,0.536,3.843,6.557,81.63,6.8300e-01,0,1,0
G1_sun_plus,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.13099577,jinshuzhuti,99.10,0.000,8.995,15.797,0.25,3.1227e-01,0,0,0
G1_sun_plus,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.17277132,jinshuzhuti,94.17,4.966,4.125,7.044,80.31,6.4591e-01,0,1,1
G1_sun_plus,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17613373,jinshuzhuti,94.23,4.910,3.965,6.830,80.82,6.6221e-01,0,1,1
G1_sun_plus,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.18830136,jinshuzhuti,94.67,4.597,3.046,5.209,79.98,7.1229e-01,0,1,1
G1_sun_plus,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.15599308,jinshuzhuti,93.53,5.489,5.157,8.853,81.34,5.8006e-01,0,1,1
G1_sun_plus,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.19528240,jinshuzhuti,94.66,4.481,2.488,4.416,80.11,7.4054e-01,0,1,1
G1_sun_plus,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.13818776,jinshuzhuti,92.89,6.090,6.147,10.514,80.57,4.9521e-01,0,1,1
G1_sun_plus,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.17247213,jinshuzhuti,98.63,0.557,3.837,6.548,83.87,7.0297e-01,0,1,0
G1_sun_plus,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16835260,jinshuzhuti,98.37,0.574,3.832,6.536,85.51,7.1571e-01,0,1,0
G1_sun_plus,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.15810108,jinshuzhuti,93.58,5.408,5.065,8.919,80.49,5.7977e-01,0,1,1
G1_sun_plus,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.16854442,jinshuzhuti,94.08,5.102,4.392,7.761,80.61,6.2853e-01,0,1,1
G1_sun_plus,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.14275878,jinshuzhuti,93.01,5.944,5.905,10.188,81.30,5.2148e-01,0,1,1
G2_sun_minus,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.18072152,jinshuzhuti,94.37,4.765,3.653,6.206,81.34,6.9427e-01,0,1,1
G2_sun_minus,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.16312907,jinshuzhuti,98.57,0.557,4.188,7.138,83.87,6.6471e-01,0,1,0
G2_sun_minus,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.03953715,jinshuzhuti,97.91,0.000,14.986,26.372,0.02,2.3651e-02,0,0,0
G2_sun_minus,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.17663114,jinshuzhuti,94.32,4.840,3.847,6.572,80.28,6.7471e-01,0,1,1
G2_sun_minus,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17271975,jinshuzhuti,94.17,4.968,4.115,7.113,81.09,6.5888e-01,0,1,1
G2_sun_minus,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.15753455,jinshuzhuti,93.79,5.369,5.048,8.576,79.93,5.8509e-01,0,1,1
G2_sun_minus,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.18842083,jinshuzhuti,94.55,4.598,2.940,5.115,81.64,7.3747e-01,0,1,1
G2_sun_minus,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.14114070,jinshuzhuti,92.93,5.973,6.045,10.276,80.24,5.1104e-01,0,1,1
G2_sun_minus,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.19493062,jinshuzhuti,94.78,4.436,2.353,4.143,80.86,7.5837e-01,0,1,1
G2_sun_minus,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.16405573,jinshuzhuti,98.52,0.580,4.147,7.070,81.53,6.4750e-01,0,1,0
G2_sun_minus,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16009908,jinshuzhuti,98.31,0.597,4.231,7.209,84.31,6.7699e-01,0,1,0
G2_sun_minus,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.17901891,jinshuzhuti,94.28,4.804,3.672,6.677,81.06,6.8765e-01,0,1,1
G2_sun_minus,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.16262884,jinshuzhuti,93.92,5.239,4.782,8.294,80.85,6.1197e-01,0,1,1
G2_sun_minus,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.19447424,jinshuzhuti,94.70,4.467,2.399,4.330,80.88,7.5858e-01,0,1,1
G3_view_plus,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.18751159,jinshuzhuti,94.52,4.708,3.454,5.943,79.74,6.9048e-01,0,1,1
G3_view_plus,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.16894559,jinshuzhuti,98.55,0.564,4.134,7.136,80.84,6.4382e-01,0,1,0
G3_view_plus,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.03979351,jinshuzhuti,97.68,0.000,15.815,27.428,0.27,2.6533e-02,0,0,0
G3_view_plus,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.18114528,jinshuzhuti,94.29,4.874,3.835,6.645,79.81,6.6858e-01,0,1,1
G3_view_plus,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17550508,jinshuzhuti,94.05,5.030,4.224,7.389,79.97,6.4120e-01,0,1,1
G3_view_plus,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.16446527,jinshuzhuti,93.79,5.328,4.865,8.365,79.77,5.9582e-01,0,1,1
G3_view_plus,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.19031631,jinshuzhuti,94.52,4.649,3.150,5.604,80.75,7.1661e-01,0,1,1
G3_view_plus,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.14897217,jinshuzhuti,93.24,5.792,5.727,9.874,79.30,5.2823e-01,0,1,1
G3_view_plus,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.20491531,jinshuzhuti,94.86,4.367,1.803,3.136,79.93,7.6884e-01,1,1,1
G3_view_plus,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.16874390,jinshuzhuti,98.68,0.570,4.121,7.116,83.06,6.6339e-01,0,1,0
G3_view_plus,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16651725,jinshuzhuti,98.49,0.585,4.155,7.172,83.04,6.5973e-01,0,1,0
G3_view_plus,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.17654803,jinshuzhuti,94.20,4.970,4.159,7.617,80.75,6.5151e-01,0,1,1
G3_view_plus,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.17492923,jinshuzhuti,94.23,4.982,4.217,7.422,80.08,6.4437e-01,0,1,1
G3_view_plus,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.19504877,jinshuzhuti,94.70,4.548,2.882,5.340,81.31,7.3602e-01,0,1,1
G4_view_minus,A_top1,top1,mandatory,yaw2450_pitchp0275_roll+015,0.16396582,jinshuzhuti,93.92,5.098,4.403,7.634,81.62,6.3520e-01,0,1,1
G4_view_minus,B_R4,R4_robust,mandatory,yaw1475_pitchp0125_roll+000,0.16372579,jinshuzhuti,98.31,0.544,3.841,6.592,85.79,7.2090e-01,0,1,0
G4_view_minus,C_R3,R3_negative,mandatory,yaw055_pitch+060_roll+000,0.13244369,jinshuzhuti,99.26,0.000,8.775,15.676,0.37,3.2677e-01,0,0,0
G4_view_minus,D1,top1_neighbor,top1_neighbor,yaw2450_pitchp0300_roll+015,0.16832937,jinshuzhuti,94.08,5.001,4.099,7.000,80.98,6.5485e-01,0,1,1
G4_view_minus,D2,top1_neighbor,top1_neighbor,yaw2450_pitchp0325_roll+015,0.17359084,jinshuzhuti,94.30,4.843,3.836,6.480,81.59,6.7753e-01,0,1,1
G4_view_minus,D3,top1_neighbor,top1_neighbor,yaw2475_pitchp0375_roll+015,0.18111974,jinshuzhuti,94.50,4.699,3.094,5.467,80.73,7.1398e-01,0,1,1
G4_view_minus,D4,top1_neighbor,top1_neighbor,yaw2425_pitchp0225_roll+015,0.15209978,jinshuzhuti,93.44,5.495,4.993,8.438,80.55,5.8515e-01,0,1,1
G4_view_minus,D5_roll125,top1_neighbor_roll125,top1_neighbor,yaw2450_pitchp0275_roll+0125,0.18548740,jinshuzhuti,94.64,4.571,2.757,5.197,81.47,7.3872e-01,0,1,1
G4_view_minus,D6_roll175,top1_neighbor_roll175,top1_neighbor,yaw2475_pitchp0300_roll+0175,0.13248277,jinshuzhuti,92.77,6.191,6.192,10.827,80.98,4.9225e-01,0,1,1
G4_view_minus,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll-015,0.16748300,jinshuzhuti,98.53,0.545,3.787,6.490,82.23,6.9061e-01,0,1,0
G4_view_minus,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,yaw1475_pitchp0125_roll+015,0.16223243,jinshuzhuti,98.27,0.572,3.841,6.600,87.61,7.3575e-01,0,1,0
G4_view_minus,F1_edge,bright_edge_nsm0,bright_edge,yaw2425_pitchp0275_roll+015,0.15678867,jinshuzhuti,93.67,5.323,4.818,8.135,81.47,6.0549e-01,0,1,1
G4_view_minus,F2_edge,bright_edge_nsm0,bright_edge,yaw2475_pitchp0300_roll+015,0.15863952,jinshuzhuti,93.81,5.259,4.652,8.615,80.74,6.1302e-01,0,1,1
G4_view_minus,F3_edge,bright_edge_nsm0,bright_edge,yaw240_pitch+015_roll+015,0.13616193,jinshuzhuti,92.71,6.090,5.727,9.647,79.09,5.1855e-01,0,1,1
