label,yaw,pitch,roll,ocs_total,src_pkg,region,category,json_ok,exr_ok,vsun_ok,geometry_eligible
yaw0550_pitchp0675_roll+000,55.0,67.5,0.0,0.06684434,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942464,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947678,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997713,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0625_roll+000,60.0,62.5,0.0,0.06768928,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0675_roll+000,60.0,67.5,0.0,0.06760830,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0600_roll+000,62.5,60.0,0.0,0.06036954,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0625_roll+000,62.5,62.5,0.0,0.06042397,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0650_roll+000,62.5,65.0,0.0,0.06108941,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0675_roll+000,62.5,67.5,0.0,0.06148202,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0700_roll+000,62.5,70.0,0.0,0.06130155,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0625_roll+000,65.0,62.5,0.0,0.05227029,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0675_roll+000,65.0,67.5,0.0,0.05267475,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw1450_pitchp0125_roll+000,145.0,12.5,0.0,0.18642113,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0175_roll+000,145.0,17.5,0.0,0.14580116,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0225_roll+000,145.0,22.5,0.0,0.07160790,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0100_roll+000,147.5,10.0,0.0,0.18551525,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.20114613,P3,R4_control,23A_refined_topN,1,1,1,YES
yaw1475_pitchp0150_roll+000,147.5,15.0,0.0,0.19024239,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0175_roll+000,147.5,17.5,0.0,0.15675013,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0200_roll+000,147.5,20.0,0.0,0.11447003,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0225_roll+000,147.5,22.5,0.0,0.07612514,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0250_roll+000,147.5,25.0,0.0,0.04909751,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0125_roll+000,150.0,12.5,0.0,0.18839583,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0175_roll+000,150.0,17.5,0.0,0.14722277,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1500_pitchp0225_roll+000,150.0,22.5,0.0,0.07269508,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0100_roll+000,152.5,10.0,0.0,0.14468932,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0125_roll+000,152.5,12.5,0.0,0.15595150,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0150_roll+000,152.5,15.0,0.0,0.14766198,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0175_roll+000,152.5,17.5,0.0,0.12310261,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0200_roll+000,152.5,20.0,0.0,0.09206339,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0225_roll+000,152.5,22.5,0.0,0.06333954,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1525_pitchp0250_roll+000,152.5,25.0,0.0,0.04301867,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1550_pitchp0125_roll+000,155.0,12.5,0.0,0.11607020,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1550_pitchp0175_roll+000,155.0,17.5,0.0,0.09387110,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1550_pitchp0225_roll+000,155.0,22.5,0.0,0.05136991,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0100_roll+000,157.5,10.0,0.0,0.07308167,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0125_roll+000,157.5,12.5,0.0,0.07852142,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0150_roll+000,157.5,15.0,0.0,0.07573243,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0175_roll+000,157.5,17.5,0.0,0.06619719,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0200_roll+000,157.5,20.0,0.0,0.05266181,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0225_roll+000,157.5,22.5,0.0,0.04042275,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1575_pitchp0250_roll+000,157.5,25.0,0.0,0.03118434,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1600_pitchp0125_roll+000,160.0,12.5,0.0,0.05103548,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1600_pitchp0175_roll+000,160.0,17.5,0.0,0.04554065,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1600_pitchp0225_roll+000,160.0,22.5,0.0,0.03178474,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw2400_pitchp0325_roll+000,240.0,32.5,0.0,0.05217276,P3,R1_high_info,high-info,1,1,1,YES
yaw2400_pitchp0375_roll+000,240.0,37.5,0.0,0.05217443,P3,R1_high_info,high-info,1,1,1,YES
yaw2425_pitchp0300_roll+000,242.5,30.0,0.0,0.04732182,P3,R1_high_info,high-info,1,1,1,YES
yaw2425_pitchp0325_roll+000,242.5,32.5,0.0,0.04725992,P3,R1_high_info,high-info,1,1,1,YES
yaw2425_pitchp0350_roll+000,242.5,35.0,0.0,0.04725503,P3,R1_high_info,high-info,1,1,1,YES
yaw2425_pitchp0375_roll+000,242.5,37.5,0.0,0.04764066,P3,R1_high_info,high-info,1,1,1,YES
yaw2425_pitchp0400_roll+000,242.5,40.0,0.0,0.04693503,P3,R1_high_info,high-info,1,1,1,YES
yaw2450_pitchp0325_roll+000,245.0,32.5,0.0,0.04091531,P3,R1_high_info,high-info,1,1,1,YES
yaw2450_pitchp0375_roll+000,245.0,37.5,0.0,0.04068319,P3,R1_high_info,high-info,1,1,1,YES
yaw2475_pitchp0300_roll+000,247.5,30.0,0.0,0.03558360,P3,R1_high_info,high-info,1,1,1,YES
yaw2475_pitchp0325_roll+000,247.5,32.5,0.0,0.03579356,P3,R1_high_info,high-info,1,1,1,YES
yaw2475_pitchp0350_roll+000,247.5,35.0,0.0,0.03598768,P3,R1_high_info,high-info,1,1,1,YES
yaw2475_pitchp0375_roll+000,247.5,37.5,0.0,0.03509893,P3,R1_high_info,high-info,1,1,1,YES
yaw2475_pitchp0400_roll+000,247.5,40.0,0.0,0.03511555,P3,R1_high_info,high-info,1,1,1,YES
yaw2500_pitchp0325_roll+000,250.0,32.5,0.0,0.03150439,P3,R1_high_info,high-info,1,1,1,YES
yaw2500_pitchp0375_roll+000,250.0,37.5,0.0,0.03099334,P3,R1_high_info,high-info,1,1,1,YES
yaw0550_pitchp0600_roll+015,55.0,60.0,15.0,0.02850029,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0550_pitchp0625_roll+015,55.0,62.5,15.0,0.02852209,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0550_pitchp0650_roll+015,55.0,65.0,15.0,0.02880357,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0550_pitchp0675_roll+015,55.0,67.5,15.0,0.02884975,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0550_pitchp0700_roll+015,55.0,70.0,15.0,0.02931572,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0600_roll+015,57.5,60.0,15.0,0.02916910,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0625_roll+015,57.5,62.5,15.0,0.02955031,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0650_roll+015,57.5,65.0,15.0,0.02947350,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0675_roll+015,57.5,67.5,15.0,0.02972530,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0700_roll+015,57.5,70.0,15.0,0.03019436,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0600_roll+015,60.0,60.0,15.0,0.02964026,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0625_roll+015,60.0,62.5,15.0,0.03005088,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0650_roll+015,60.0,65.0,15.0,0.03065191,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0675_roll+015,60.0,67.5,15.0,0.03109787,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
