degrade_level,geom,select,record_id,yaw_true,pitch_true,neural_ocs_yaw_err,image_yaw_err,joint_yaw_err,pdb_yaw_err,pdb_margin,pdb_nearest_distance,pdb_cand_yaw_spread,hardcase_labels
clean,G1,best,G1_yaw300_pitch+035,300.0,35.0,11.958,3.517,2.625,125.0,0.0,0.0,70.684,disagreement-hard
clean,G1,best,G1_yaw300_pitch+060,300.0,60.0,1.097,0.322,3.171,65.0,0.0,0.0,57.448,disagreement-hard
clean,G1,best,G1_yaw040_pitch+045,40.0,45.0,25.678,0.454,1.634,175.0,0.0,0.0,56.754,disagreement-hard
clean,G1,best,G1_yaw065_pitch-080,65.0,-80.0,7.699,2.207,1.494,175.0,0.0,0.0,68.609,disagreement-hard
clean,G1,best,G1_yaw270_pitch-010,270.0,-10.0,72.041,3.728,2.809,5.0,0.0,0.0,49.639,disagreement-hard
clean,G1,best,G1_yaw190_pitch-050,190.0,-50.0,37.928,5.159,0.508,10.0,0.0,0.0,56.71,disagreement-hard
clean,G1,best,G1_yaw310_pitch+060,310.0,60.0,63.795,1.943,3.087,10.0,0.0,0.0,58.558,disagreement-hard
clean,G1,best,G1_yaw045_pitch-070,45.0,-70.0,36.778,3.507,0.952,0.0,0.0,0.0,26.024,disagreement-hard
clean,G1,best,G1_yaw060_pitch-090,60.0,-90.0,6.483,0.104,3.558,5.0,1e-06,0.0,29.262,robust-easy
clean,G3,best,G3_yaw260_pitch-065,260.0,-65.0,31.443,8.163,1.172,0.0,0.0,0.0,2.291,disagreement-hard
clean,G3,best,G3_yaw300_pitch+055,300.0,55.0,1.216,6.245,6.75,170.0,0.0,0.0,80.655,disagreement-hard
clean,G3,best,G3_yaw140_pitch+000,140.0,0.0,77.27,5.868,5.64,20.0,2e-06,2e-06,64.039,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw315_pitch-020,315.0,-20.0,64.049,3.078,3.242,0.0,4e-06,1e-06,36.892,disagreement-hard
clean,G3,best,G3_yaw130_pitch+035,130.0,35.0,9.55,9.361,0.486,0.0,1e-06,0.0,88.182,robust-easy
clean,G3,best,G3_yaw255_pitch-005,255.0,-5.0,18.441,7.738,0.008,125.0,1e-06,1e-06,62.976,disagreement-hard
clean,G3,best,G3_yaw320_pitch-020,320.0,-20.0,8.927,10.968,3.719,0.0,5e-06,1e-06,29.428,robust-easy
clean,G3,best,G3_yaw245_pitch+075,245.0,75.0,0.564,1.183,0.39,15.0,2e-06,3e-06,71.582,robust-easy
clean,G3,best,G3_yaw175_pitch+080,175.0,80.0,64.727,7.006,1.906,0.0,0.0,0.0,39.0,disagreement-hard
clean,G3,best,G3_yaw200_pitch+005,200.0,5.0,168.578,8.538,3.372,0.0,1e-06,0.0,29.564,disagreement-hard
clean,G3,best,G3_yaw160_pitch-070,160.0,-70.0,174.766,5.515,6.008,0.0,3e-06,1.3e-05,71.528,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw135_pitch-080,135.0,-80.0,90.675,8.559,2.33,100.0,7e-06,1.8e-05,3.317,ocs-hard
clean,G3,best,G3_yaw320_pitch+005,320.0,5.0,40.389,1.855,0.709,0.0,3e-06,8e-06,20.616,disagreement-hard
clean,G3,best,G3_yaw115_pitch-085,115.0,-85.0,104.912,4.661,2.439,100.0,1e-06,2e-06,37.42,ocs-hard
clean,G3,best,G3_yaw110_pitch-055,110.0,-55.0,47.896,2.735,0.707,0.0,0.0,0.0,67.831,disagreement-hard
clean,G3,best,G3_yaw310_pitch-020,310.0,-20.0,84.237,2.026,2.438,0.0,0.0,2e-06,33.17,ocs-hard;disagreement-hard
clean,G3,best,G3_yaw270_pitch+045,270.0,45.0,136.894,3.002,0.651,0.0,0.0,0.0,85.023,disagreement-hard
clean,G3,best,G3_yaw250_pitch+085,250.0,85.0,3.735,1.058,0.911,0.0,7e-06,6e-06,38.759,robust-easy
