yaw,pitch,roll,ocs_no_occ,ocs_with_occ,occlusion_ratio,visible_faces_no_occ,visible_faces_with_occ,ocs_no_occ_jinshuzhuti,ocs_no_occ_taiyangnengban,ocs_no_occ_yinshenban,ocs_with_occ_jinshuzhuti,ocs_with_occ_taiyangnengban,ocs_with_occ_yinshenban,visible_faces_no_occ_jinshuzhuti,visible_faces_no_occ_taiyangnengban,visible_faces_no_occ_yinshenban,visible_faces_with_occ_jinshuzhuti,visible_faces_with_occ_taiyangnengban,visible_faces_with_occ_yinshenban
5.0,60.0,0.0,0.019844839694719587,0.005784209569564568,0.7085282794648293,34130,4479,0.003743082791196228,0.015638055032601857,0.00046370187092150056,0.00019047309947289154,0.005341310671687714,0.0002524257984039614,32627,1307,196,4124,341,14
5.0,65.0,0.0,0.020862533140375922,0.006708239166141332,0.678455194246826,33850,4220,0.002276720300246942,0.018143460833264714,0.0004423520068642651,0.0002986511907693851,0.006179770843175341,0.00022981713219660506,32350,1306,194,3864,342,14
5.0,70.0,0.0,0.02418232725979402,0.007542256588528559,0.6881087371161148,33783,4094,0.0031837898103105207,0.020577373064580316,0.00042116438490318346,0.00034848878640289743,0.006965807297385308,0.00022796050474035285,32301,1292,190,3739,340,15
5.0,75.0,0.0,0.027256764730074136,0.00904956566220788,0.6679882681665843,33646,3980,0.003983658716977509,0.02287258272077035,0.00040052329232627773,0.0011267499850561656,0.007706951478159527,0.0002158641989921863,32191,1261,194,3626,339,15
5.0,80.0,0.0,0.04166465029950691,0.011772687046126527,0.7174418371089544,33661,3880,0.01631818605704581,0.0249656198630034,0.00038084437945770156,0.0031641810411287903,0.008394386209396407,0.00021411979560133045,32185,1274,202,3521,341,18
5.0,85.0,0.0,0.04240737756842014,0.013059306909807628,0.6920510614282216,33160,3803,0.015249139596082434,0.026795837563292353,0.00036240040904535106,0.0038743681528001918,0.008989794616510418,0.00019514414049701727,31676,1280,204,3445,344,14
5.0,90.0,0.0,0.04222489389028755,0.010772068110168039,0.7448882136173751,33137,3760,0.013577087490588354,0.028302345201946313,0.0003454611977528838,0.001116455211113694,0.009469805980293022,0.00018580691876132272,31662,1273,202,3397,347,16
10.0,-90.0,0.0,0.03826303193474316,0.010577380798812479,0.7235613524602025,32604,6232,0.008972010856673724,0.028276712155420946,0.0010143089226484939,0.0009503614289460984,0.009033339391948903,0.0005936799779174769,30699,1470,435,5741,417,74
10.0,-85.0,0.0,0.04905425172392292,0.012365075132989976,0.7479306135871655,32654,6202,0.01883365875809758,0.029412270822693303,0.000808322143132039,0.0024704941057563314,0.0094098374100425,0.0004847436171911452,30743,1472,439,5702,431,69
10.0,-80.0,0.0,0.07694970118557268,0.013917504329072981,0.8191350438709386,32459,5956,0.04626469711530035,0.03008820006594159,0.0005968040043307385,0.0038928186805025,0.009657340436090529,0.0003673452124799514,30578,1449,432,5449,437,70
