geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,weighted_NoL,weighted_NoV,weighted_NoL_NoV,near_specular_metal,strong_surface_highlight,dark_panel_increment
sp7_vm7,7,-7,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.10096916,jinshuzhuti,97.38,0.854,7.877,13.381,81.60,3.8425e-01,0.8458,0.8261,0.6987,0,1,0
sp7_vm7,7,-7,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.13269323,jinshuzhuti,92.72,6.250,6.295,10.913,80.59,4.8389e-01,0.8593,0.8187,0.7031,0,1,1
sp7_vm7,7,-7,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.10038705,jinshuzhuti,90.57,8.000,8.141,13.868,1.40,3.3386e-01,0.8480,0.8209,0.6956,0,0,1
sp7_vm7,7,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.07477579,jinshuzhuti,88.00,10.407,9.772,16.708,1.26,2.1819e-01,0.8497,0.8082,0.6860,0,0,1
sp7_vm9,7,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.26231095,jinshuzhuti,99.44,0.004,4.002,7.568,86.98,7.1674e-01,0.8118,0.8709,0.7070,0,1,0
sp7_vm9,7,-9,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.24920921,jinshuzhuti,99.44,0.000,4.515,8.592,87.94,6.8351e-01,0.8065,0.8753,0.7058,0,1,0
sp7_vm9,7,-9,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.08310069,jinshuzhuti,97.00,1.021,9.032,15.340,0.69,3.0390e-01,0.8454,0.8164,0.6901,0,0,0
sp7_vm9,7,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.11403993,jinshuzhuti,91.70,7.136,7.430,12.850,80.85,3.9996e-01,0.8588,0.8109,0.6959,0,1,1
sp7_vm9,7,-9,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.08336643,jinshuzhuti,89.02,9.405,9.109,15.513,1.22,2.5874e-01,0.8471,0.8118,0.6869,0,0,1
sp7_vm9,7,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.06253854,jinshuzhuti,86.00,12.130,10.680,18.263,1.52,1.6359e-01,0.8487,0.7978,0.6763,0,0,1
sp9_vm5,9,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.27041421,jinshuzhuti,99.47,0.000,3.724,7.375,88.04,7.4339e-01,0.8132,0.8791,0.7149,0,1,0
sp9_vm5,9,-5,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.22489063,jinshuzhuti,99.32,0.000,5.443,9.999,87.78,6.0621e-01,0.8107,0.8769,0.7108,0,1,0
sp9_vm5,9,-5,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.10214147,jinshuzhuti,97.54,0.897,7.873,13.375,81.45,3.8292e-01,0.8424,0.8336,0.7023,0,1,0
sp9_vm5,9,-5,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.13476615,jinshuzhuti,92.64,6.206,6.263,10.791,80.45,4.8385e-01,0.8572,0.8256,0.7073,0,1,1
sp9_vm5,9,-5,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.10003666,jinshuzhuti,90.54,8.112,8.209,13.963,1.27,3.3025e-01,0.8442,0.8288,0.6992,0,0,1
sp9_vm5,9,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.07617173,jinshuzhuti,88.23,10.192,9.696,16.535,1.63,2.2112e-01,0.8457,0.8172,0.6903,0,0,1
sp9_vm7,9,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.26201145,jinshuzhuti,99.46,0.000,4.064,7.775,87.86,7.1915e-01,0.8130,0.8756,0.7119,0,1,0
sp9_vm7,9,-7,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.24855244,jinshuzhuti,99.54,0.000,4.540,8.577,87.97,6.8068e-01,0.8109,0.8766,0.7107,0,1,0
sp9_vm7,9,-7,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.08395274,jinshuzhuti,96.72,1.015,8.996,15.273,0.84,3.0180e-01,0.8420,0.8251,0.6948,0,0,0
sp9_vm7,9,-7,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.11422842,jinshuzhuti,91.68,7.165,7.354,12.659,80.50,3.9776e-01,0.8567,0.8184,0.7007,0,1,1
sp9_vm7,9,-7,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.08426984,jinshuzhuti,89.01,9.362,9.135,15.538,1.33,2.5977e-01,0.8441,0.8204,0.6919,0,0,1
sp9_vm7,9,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.06258787,jinshuzhuti,86.02,12.173,10.716,18.271,1.22,1.6175e-01,0.8444,0.8077,0.6811,0,0,1
sp9_vm9,9,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.24662210,jinshuzhuti,99.41,0.005,4.678,8.588,87.02,6.6670e-01,0.8129,0.8707,0.7078,0,1,0
sp9_vm9,9,-9,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.26702726,jinshuzhuti,99.47,0.000,3.818,7.454,87.90,7.3499e-01,0.8108,0.8754,0.7097,0,1,0
sp9_vm9,9,-9,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.06832159,jinshuzhuti,96.16,1.225,10.141,17.210,0.73,2.3069e-01,0.8414,0.8152,0.6860,0,0,0
sp9_vm9,9,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.09667310,jinshuzhuti,90.39,8.296,8.487,14.592,1.22,3.1873e-01,0.8561,0.8107,0.6934,0,0,1
sp9_vm9,9,-9,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.06980950,jinshuzhuti,87.19,11.017,10.042,17.077,1.57,1.9520e-01,0.8431,0.8113,0.6831,0,0,1
sp9_vm9,9,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.05293927,jinshuzhuti,83.90,14.011,11.572,19.738,1.56,1.1888e-01,0.8435,0.7973,0.6715,0,0,1
