rank,geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,is_new_pose,on_grid_edge,camera_exr_src,sun_exr_src,ocs_total,ocs_metal,ocs_dark,ocs_solar,n_pixels_contributing,image_usable,anchor_ref,anchor_ref_ocs_total,anchor_rel_diff,status,failed_reason
34,sp9_vm5,9,-5,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,28/cam_vm5,28/sun_sp9,0.10214147716760635,0.0996321588754654,0.0009158297907561064,0.0015934886178001761,3420,True,,,,COMPLETE,
35,sp7_vm7,7,-7,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,REUSED_26/G4_view_minus,REUSED_26/G1_sun_plus,0.10096915811300278,0.09832273423671722,0.000862575659994036,0.0017838606145232916,3469,True,27/Hsp_vm,0.10096915811300278,0.0,COMPLETE,
36,sp7_vm7,7,-7,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,REUSED_26/G4_view_minus,REUSED_26/G1_sun_plus,0.10038704425096512,0.09091633558273315,0.008031009696424007,0.0014396993210539222,4012,True,27/Hsp_vm,0.10038704425096512,0.0,COMPLETE,
37,sp5_vm9,5,-9,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,28/cam_vm9,28/sun_sp5,0.10005003958940506,0.09757136553525925,0.0008596062543801963,0.0016190657624974847,2601,True,,,,COMPLETE,
38,sp9_vm5,9,-5,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,28/cam_vm5,28/sun_sp9,0.10003665834665298,0.09057451784610748,0.008114888332784176,0.0013472532154992223,4049,True,,,,COMPLETE,
39,sp5_vm9,5,-9,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,28/cam_vm9,28/sun_sp5,0.09918295592069626,0.08983656764030457,0.00797196477651596,0.001374408951960504,3961,True,,,,COMPLETE,
40,sp9_vm9,9,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,False,,28/cam_vm9,28/sun_sp9,0.09667309373617172,0.08738251775503159,0.008019658736884594,0.0012709283037111163,3955,True,,,,COMPLETE,
41,sp7_vm5,7,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,28/cam_vm5,REUSED_26/G1_sun_plus,0.09100494533777237,0.08182573318481445,0.007918822579085827,0.001260393182747066,3988,True,,,,COMPLETE,
42,sp5_vm7,5,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,REUSED_26/G4_view_minus,28/sun_sp5,0.08930846303701401,0.08013229817152023,0.007927851751446724,0.0012483034515753388,3944,True,,,,COMPLETE,
43,sp9_vm7,9,-7,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,REUSED_26/G4_view_minus,28/sun_sp9,0.08426983654499054,0.07500521093606949,0.007888955064117908,0.0013756738044321537,4009,True,,,,COMPLETE,
44,sp9_vm7,9,-7,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,REUSED_26/G4_view_minus,28/sun_sp9,0.08395273983478546,0.08120254427194595,0.0008519854745827615,0.0018982193432748318,3468,True,,,,COMPLETE,
45,sp7_vm9,7,-9,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,28/cam_vm9,REUSED_26/G1_sun_plus,0.08336642384529114,0.07421083748340607,0.007840659469366074,0.0013149343430995941,3965,True,,,,COMPLETE,
46,sp7_vm9,7,-9,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,28/cam_vm9,REUSED_26/G1_sun_plus,0.08310068398714066,0.08060427010059357,0.0008484272984787822,0.0016479933401569724,3520,True,,,,COMPLETE,
47,sp9_vm5,9,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,28/cam_vm5,28/sun_sp9,0.07617173343896866,0.06720782816410065,0.007763492874801159,0.0012004012241959572,3990,True,,,,COMPLETE,
48,sp7_vm7,7,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,REUSED_26/G4_view_minus,REUSED_26/G1_sun_plus,0.07477579265832901,0.06580311805009842,0.007782215718179941,0.0011904631974175572,3945,True,27/Hsp_vm,0.07477579265832901,0.0,COMPLETE,
49,sp5_vm9,5,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,28/cam_vm9,28/sun_sp5,0.07445989549160004,0.06549298763275146,0.007738715037703514,0.0012281923554837704,3903,True,,,,COMPLETE,
50,sp9_vm9,9,-9,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,False,,28/cam_vm9,28/sun_sp9,0.06980950385332108,0.060867395251989365,0.007690784055739641,0.0012513260589912534,3969,True,,,,COMPLETE,
51,sp9_vm9,9,-9,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,False,,28/cam_vm9,28/sun_sp9,0.0683215856552124,0.06569667905569077,0.0008369191200472414,0.0017879910301417112,3520,True,,,,COMPLETE,
52,sp9_vm7,9,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,REUSED_26/G4_view_minus,28/sun_sp9,0.06258787214756012,0.05383953079581261,0.007618901785463095,0.0011294400319457054,3947,True,,,,COMPLETE,
53,sp7_vm9,7,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,28/cam_vm9,REUSED_26/G1_sun_plus,0.06253854185342789,0.05378568917512894,0.007585905026644468,0.0011669370578601956,3903,True,,,,COMPLETE,
54,sp9_vm9,9,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,False,,28/cam_vm9,28/sun_sp9,0.05293926224112511,0.044418588280677795,0.007417117245495319,0.0011035525240004063,3904,True,,,,COMPLETE,
